API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-371-33090,42-371-33090-00,840420002847872,817251597,42-371-33090-00-00_DIG_RS0056075672.LAS,LAS,DIGITAL_LOG,RAW,100,0,7147.00,LAS,"CALD,CORR,DPHI_LS,DT,GRD,GRR,GRS,LLD,LLS,NPHI_LS,RHOB",11,,1905166,2024-01-05,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-371-33090,42-371-33090-00,840420002847872,817321305,42-371-33090-00-00_ECP_RS0056208231.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,0,7147.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,RESD_LL_E,RESS_LL_E,RHOB_E",37,MD,8184419,2024-02-18,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-371-05311,42-371-05311-00,840420002865086,810033802,42-371-05311-00-00_DIG_RS0022588639.LAS,LAS,DIGITAL_LOG,RAW,100,50.00,15192.00,LAS,"DT,DTEDIT,GR",3,,1973490,2019-01-23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-34023,42-389-34023-00,840420000635461,816029112,42-389-34023-90-00_ECP_RS0051233984.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,9586.50,10811.50,LAS,"DTS_E,DT_E,GR_E",12,MD,487723,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-34023,42-389-34023-00,840420000635461,815935197,42-389-34023-90-00_DIG_RS0051094347.LAS,LAS,DIGITAL_LOG,RAW,100,9586.50,10811.50,LAS,"CDF,CTEM,DCAL,DTCO,DTSM,ED,GR_EDTC,GTEM,HAZI,HAZIM,ITT,ND,P1AZ,PR,RB,SDEV,SDEVM,SPHI,STIT,TENS",20,,583239,2021-08-31,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42-389-34023,42-389-34023-00,840420000635461,816026314,42-389-34023-90-00_EC_RS0051226492.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,9586.50,10811.50,LAS,"DCAL,DT,DTS,GR,SPHI,TEMP,TEMP__01,TENS",8,MD,346084,2023-11-04,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42-389-00802,42-389-00802-00,840420005524556,813928623,42-389-00802-00-00_EC_RS0044181863.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,103.00,5419.00,LAS,"DT,GR",2,MD,502834,2023-11-04,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00802,42-389-00802-00,840420005524556,811953941,42-389-00802-00-00_DIG_RS0031817456.LAS,LAS,DIGITAL_LOG,RAW,100,103.00,5419.00,LAS,"DT,GR",2,MD,297229,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00802,42-389-00802-00,840420005524556,814492672,42-389-00802-00-00_ECP_RS0044809982.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,103.00,5419.00,LAS,"DT_E,GR_E",8,MD,1461136,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-33558,42-389-33558-00,840420000621101,812576985,42-389-33558-00-00_EC_RS0032927623.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,190.50,12005.50,LAS,"CALI__A,DPHI__A,DT__A,GR__A,NPHI__A,RHOB__A",6,MD,2532296,2023-11-04,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-389-33558,42-389-33558-00,840420000621101,812007430,42-389-33558-00-00_DIG_RS0031894792.LAS,LAS,DIGITAL_LOG,RAW,100,190.00,12010.00,LAS,"CAL,DPHI,DT,GR,NPHI,RHOB",6,MD,2036772,2020-05-10,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-389-33558,42-389-33558-00,840420000621101,811842126,42-389-33558-00-00_ECP_RS0031561456.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,190.50,12023.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DT_E,GR_E,NPHI_E,RESD_E,RHOB_E",29,MD,10703706,2023-11-21,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-389-30275,42-389-30275-00,840420003198279,812571225,42-389-30275-00-00_EC_RS0032920372.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,38.00,20083.00,LAS,"CALI,DT,GR",3,MD,2488787,2023-11-04,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-30275,42-389-30275-00,840420003198279,812343916,42-389-30275-00-00_DIG_RS0032306262.LAS,LAS,DIGITAL_LOG,RAW,100,38.00,20083.00,LAS,"CAL,DT,GR",3,MD,1998414,2020-05-10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-30275,42-389-30275-00,840420003198279,813720712,42-389-30275-00-00_ECP_RS0041774327.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,38.00,20083.00,LAS,"CALI_E,DT_E,GR_E",12,MD,7902739,2023-11-21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-36358,42-371-36358-00,840420002850060,812515583,42-371-36358-00-00_EC_RS0032850908.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,151.00,5707.00,LAS,"DT,GR",2,MD,525542,2023-11-05,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-36358,42-371-36358-00,840420002850060,812111423,42-371-36358-00-00_DIG_RS0032044985.LAS,LAS,DIGITAL_LOG,RAW,100,151.00,5707.00,LAS,"DT,GR",2,MD,309763,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-36358,42-371-36358-00,840420002850060,813727203,42-371-36358-00-00_ECP_RS0041783475.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,151.00,5707.00,LAS,"DT_E,GR_E",8,MD,1526896,2023-11-20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-371-33107,42-371-33107-00,840420003195787,810033800,42-371-33107-00-00_DIG_RS0022588637.LAS,LAS,DIGITAL_LOG,RAW,100,1994.00,12816.00,LAS,"CALI,DPHI,DT,GR,LLD,NPHI",6,,2516211,2019-01-23,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
42-389-00309,42-389-00309-00,840420005525778,814504629,42-389-00309-00-00_ECP_RS0044822222.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,50.00,6091.00,LAS,"DT_E,GR_E",8,MD,1659786,2023-11-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42-389-00309,42-389-00309-00,840420005525778,812001742,42-389-00309-00-00_DIG_RS0031886487.LAS,LAS,DIGITAL_LOG,RAW,100,50.00,6118.00,LAS,"DT,GR,NEUT",3,MD,479372,2020-05-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
