ev_id,station,r,az,tt_P,tt_S,ts-tp
texnet2022wpem,PB24,2.129848285734094,232.25389991526632,1.393648,2.356969,0.9633209999999999
texnet2023uglz,WB03,1.9574387854680455,158.52673607287872,1.394344,2.422996,1.028652
texnet2022wqhb,PB24,2.1182262871354163,234.03768010763181,1.395608,2.292573,0.896965
texnet2023vxhw,WB03,1.5783589696897407,167.70721881580357,1.395847,2.378659,0.9828119999999998
texnet2023whbv,PB24,2.2159141354141236,239.14865706174956,1.395895,2.376141,0.980246
texnet2024axdm,PB24,2.8373775198938884,183.56597332978032,1.397552,2.436352,1.0388
texnet2023wpdu,PB35,2.5508974573437033,183.88010153765904,1.399447,2.489011,1.089564
texnet2023xetv,PB24,2.0981495321911896,220.3585359118966,1.400175,2.399307,0.9991319999999999
texnet2022wmrr,WB03,1.0288709946342975,257.81801236284133,1.400594,2.41972,1.019126
texnet2022wqmo,WB03,1.986074429347398,158.26313223188194,1.400675,2.53776,1.1370850000000001
texnet2023ftch,PB37,2.9127166508459803,64.44183797478581,1.401114,2.458847,1.057733
texnet2023gbwn,WB03,0.93853139194792,247.36076550362463,1.401149,2.407505,1.006356
texnet2022xaxp,PB24,2.0584168066093307,245.36433385409612,1.402246,2.50712,1.104874
texnet2022wmpv,WB03,2.0164525482605686,158.0556248705565,1.403126,2.573427,1.170301
texnet2023mvja,PB28,0.9392065532191254,93.04274385574398,1.404366,2.13255,0.7281840000000002
texnet2022mkbm,WB03,1.1293446425409412,102.2320442412496,1.405087,2.83344,1.428353
texnet2023kfyr,WB03,1.2831721827338236,152.32163998913583,1.405112,2.506788,1.1016759999999999
texnet2023jgut,PB37,2.9216502772715236,64.5496173368057,1.40554,2.413925,1.0083849999999999
texnet2022wnsn,PB24,2.8646651527372633,238.6343634457992,1.405634,2.598785,1.1931509999999999
texnet2023wbgs,PB24,2.1972558130746855,215.9634872507885,1.405775,2.413621,1.007846
texnet2022xctc,PB24,2.08569486119893,197.800379070434,1.407162,2.580152,1.17299
texnet2022wutl,PB24,2.7264331470208503,228.91861050577975,1.40763,2.558432,1.1508019999999999
texnet2023vxlw,WB03,1.5602514552597617,168.48843654001047,1.407951,2.433904,1.0259530000000001
texnet2022wmpe,WB03,1.1110483681138588,262.49962980473185,1.408785,2.495372,1.0865870000000002
texnet2023vxfv,PB24,2.6939667482681893,185.84198221017354,1.408803,2.408143,0.9993399999999999
texnet2022xpvg,WB03,2.1752204944315103,158.06984167214034,1.409714,2.551342,1.141628
texnet2023cecr,WB03,2.76791625571259,153.33317313354078,1.410797,2.550907,1.14011
texnet2022wmun,PB24,2.244829106123089,197.76802366167595,1.412174,2.428743,1.0165689999999998
texnet2022xbit,WB03,2.833250153362752,149.32787340972206,1.412885,2.601971,1.1890859999999999
texnet2023wcxs,PB24,2.8102951027640204,183.4259578760255,1.413228,2.365152,0.9519240000000002
texnet2023wdux,PB24,1.9937907218336248,216.36659202491748,1.41399,2.397371,0.9833810000000001
texnet2023wcxr,PB24,2.889999059385848,182.46495745987215,1.414058,2.379332,0.9652739999999997
texnet2022xazv,PB24,2.737131345343475,229.54213677790136,1.418252,2.538246,1.119994
texnet2023huqc,PB37,2.9896418158951854,63.84954595553876,1.421978,2.494284,1.072306
texnet2023vyrw,PB24,2.254023687082124,198.83605787150813,1.422023,2.379977,0.9579539999999998
texnet2022xpve,WB03,2.400568757664772,156.19417034415744,1.423382,2.5005,1.0771180000000002
texnet2023zpnj,WB03,0.9334904777835874,248.11453180035457,1.423394,2.498856,1.075462
texnet2023wimi,WB03,2.393452990203935,156.31758336601322,1.423482,2.464597,1.041115
texnet2022xqva,PB24,2.161132210883829,214.10048890354537,1.423564,2.529574,1.1060100000000002
texnet2022xpvq,WB03,1.9975964254454177,157.8669398329192,1.423921,2.46122,1.037299
texnet2023whap,PB24,2.2176836705030185,240.5343596687318,1.423959,2.312802,0.888843
texnet2023vxbx,PB24,2.6780489135748025,186.6528454526171,1.42525,2.372239,0.9469890000000001
texnet2023xeue,PB24,2.0691407332553626,215.77859250786824,1.426538,2.423448,0.99691
texnet2023zotc,WB03,0.41759568639916333,197.1623727423277,1.427696,2.744453,1.316757
texnet2023vwmi,PB26,1.4369634830895979,32.66289362968347,1.428001,2.442832,1.014831
texnet2023vxbp,PB24,2.811806375390661,183.55970243805558,1.428717,2.395355,0.9666379999999999
texnet2023mgij,PB36,2.08770667774366,282.3398961800487,1.428951,2.883615,1.4546639999999997
texnet2022wnei,WB03,2.4523040869889163,155.39218234990915,1.429403,2.597124,1.167721
texnet2023vzhg,PB28,2.7450613513686255,114.50204561685159,1.430004,2.625721,1.195717
texnet2023vxgf,PB24,2.1459104128858484,196.46423899978137,1.432851,2.450342,1.017491
texnet2023cebz,WB03,2.4239282659196206,155.725969670357,1.433153,2.473477,1.040324
texnet2022xkoc,PB24,2.097108756800346,199.12101703006962,1.43547,2.562129,1.126659
texnet2023wiea,PB24,2.8522998585390944,183.35635396410564,1.435906,2.458556,1.0226500000000003
texnet2023wizb,PB24,2.6937222437399106,228.27737760416173,1.438433,2.381713,0.9432799999999999
texnet2022wprw,WB03,1.435035578238148,141.99673705348755,1.439081,2.746813,1.307732
texnet2022xdxp,PB24,2.9668217875142804,272.85733881734313,1.440544,2.635004,1.1944599999999999
texnet2023wafv,PB24,2.032131953545425,216.93474472185588,1.44081,2.386687,0.9458769999999999
