longitude,latitude,gap
-75.50939,4.90957,273.02
-75.50939,4.91057,273.54
-75.50939,4.91157,274.06
-75.50939,4.91257,274.59
-75.50939,4.91357,275.13
-75.50939,4.91457,275.67
-75.50939,4.91557,276.22
-75.50939,4.91657,276.78
-75.50939,4.91757,277.34
-75.50939,4.91857,277.90
-75.50939,4.91957,278.47
-75.50939,4.92057,279.04
-75.50939,4.92157,279.61
-75.50839,4.83257,285.73
-75.50839,4.83357,285.53
-75.50839,4.83457,285.34
-75.50839,4.83557,285.18
-75.50839,4.83657,285.04
-75.50839,4.83757,284.93
-75.50839,4.83857,284.84
-75.50839,4.83957,284.79
-75.50839,4.84057,284.78
-75.50839,4.84157,284.80
-75.50839,4.84257,284.88
-75.50839,4.84357,285.01
-75.50839,4.84457,285.20
-75.50839,4.84557,285.46
-75.50839,4.84657,285.81
-75.50839,4.84757,286.25
-75.50839,4.84857,286.80
-75.50839,4.84957,287.49
-75.50839,4.85057,288.34
-75.50839,4.85157,289.37
-75.50839,4.85257,290.64
-75.50839,4.85357,292.18
-75.50839,4.85457,294.08
-75.50839,4.85557,296.40
-75.50839,4.85657,299.26
-75.50839,4.85757,302.79
-75.50839,4.85857,307.17
-75.50839,4.85957,312.60
-75.50839,4.86057,318.18
-75.50839,4.86157,318.15
-75.50839,4.86257,318.13
-75.50839,4.86357,318.12
-75.50839,4.86457,318.12
-75.50839,4.86557,310.50
-75.50839,4.86657,301.58
-75.50839,4.86757,294.02
-75.50839,4.86857,287.82
-75.50839,4.86957,282.79
-75.50839,4.87057,278.74
-75.50839,4.87157,275.48
-75.50839,4.87257,272.85
-75.50839,4.87357,270.72
-75.50839,4.87457,269.00
-75.50839,4.87557,267.60
-75.50839,4.87657,266.47
-75.50839,4.87757,265.55
-75.50839,4.87857,264.82
-75.50839,4.87957,264.25
-75.50839,4.88057,263.80
-75.50839,4.88157,263.47
-75.50839,4.88257,263.23
-75.50839,4.88357,263.08
-75.50839,4.88457,262.99
-75.50839,4.88557,262.98
-75.50839,4.88657,263.02
-75.50839,4.88757,263.11
-75.50839,4.88857,263.24
-75.50839,4.88957,263.42
-75.50839,4.89057,263.63
-75.50839,4.89157,263.88
-75.50839,4.89257,264.15
-75.50839,4.89357,264.46
-75.50839,4.89457,264.78
-75.50839,4.89557,265.14
-75.50839,4.89657,265.51
-75.50839,4.89757,265.90
-75.50839,4.89857,266.31
-75.50839,4.89957,266.74
-75.50839,4.90057,267.19
-75.50839,4.90157,267.65
-75.50839,4.90257,268.12
-75.50839,4.90357,268.60
-75.50839,4.90457,269.10
-75.50839,4.90557,269.60
-75.50839,4.90657,270.12
-75.50839,4.90757,270.65
-75.50839,4.90857,271.18
-75.50839,4.90957,271.72
-75.50839,4.91057,272.27
-75.50839,4.91157,272.83
-75.50839,4.91257,273.39
-75.50839,4.91357,273.96
-75.50839,4.91457,274.54
-75.50839,4.91557,275.12
-75.50839,4.91657,275.70
-75.50839,4.91757,276.29
-75.50839,4.91857,276.88
-75.50839,4.91957,277.47
-75.50839,4.92057,278.07
-75.50839,4.92157,278.67
-75.50739,4.83257,284.00
-75.50739,4.83357,283.73
-75.50739,4.83457,283.48
-75.50739,4.83557,283.25
-75.50739,4.83657,283.04
-75.50739,4.83757,282.84
-75.50739,4.83857,282.68
-75.50739,4.83957,282.54
-75.50739,4.84057,282.43
-75.50739,4.84157,282.35
-75.50739,4.84257,282.32
-75.50739,4.84357,282.33
-75.50739,4.84457,282.39
-75.50739,4.84557,282.51
-75.50739,4.84657,282.71
-75.50739,4.84757,282.98
-75.50739,4.84857,283.35
-75.50739,4.84957,283.84
-75.50739,4.85057,284.47
-75.50739,4.85157,285.26
-75.50739,4.85257,286.26
-75.50739,4.85357,287.52
-75.50739,4.85457,289.10
-75.50739,4.85557,291.09
-75.50739,4.85657,293.61
-75.50739,4.85757,296.83
-75.50739,4.85857,300.98
-75.50739,4.85957,306.36
-75.50739,4.86057,313.33
-75.50739,4.86157,317.76
-75.50739,4.86257,317.74
-75.50739,4.86357,317.72
-75.50739,4.86457,317.72
-75.50739,4.86557,306.22
-75.50739,4.86657,295.90
-75.50739,4.86757,287.68
-75.50739,4.86857,281.32
-75.50739,4.86957,276.43
-75.50739,4.87057,272.65
-75.50739,4.87157,269.71
-75.50739,4.87257,267.42
-75.50739,4.87357,265.61
-75.50739,4.87457,264.19
-75.50739,4.87557,263.07
-75.50739,4.87657,262.20
-75.50739,4.87757,261.52
-75.50739,4.87857,261.00
-75.50739,4.87957,260.62
-75.50739,4.88057,260.35
-75.50739,4.88157,260.18
-75.50739,4.88257,260.09
-75.50739,4.88357,260.07
-75.50739,4.88457,260.11
-75.50739,4.88557,260.21
-75.50739,4.88657,260.36
-75.50739,4.88757,260.55
-75.50739,4.88857,260.78
-75.50739,4.88957,261.04
-75.50739,4.89057,261.34
-75.50739,4.89157,261.66
-75.50739,4.89257,262.01
-75.50739,4.89357,262.39
-75.50739,4.89457,262.78
-75.50739,4.89557,263.20
-75.50739,4.89657,263.63
