event,event,event,event,event,event,loc,loc,loc,loc,loc,loc,loc,loc,loc,method,method,method,method,method,method,method,method,method,method,method,method,creation,creation,creation,creation,creation,creation,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,picks,mag,mag,mag,mag,mag,mag
id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,preferred_description,confidence_level,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,agency_id,agency_uri,author,author_uri,creation_time,version,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,mag,uncertainty,type,method_id,station_count,evaluation_status
70005vyy,earthquake,,us,manual,reviewed,2019-10-19 12:53:35.321000,-104.3008,0.0148,31.6472,0.0036,5000.0,1700.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,700.0,2100.0,2600.0,278.0,confidence ellipsoid,90.0,2600.0,600.0,2100.0,85.0,278.0,166.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-30T09:14:25.000000Z,42,43,28,,,,0.31,67.0,126.0,GT5,0.126,,,2.8,0.104,mb_Lg,1.0,33,reviewed
70005vy8,earthquake,,us,manual,reviewed,2019-10-19 12:13:02.621000,-104.2848,0.0169,31.6503,0.0099,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,2600.0,2900.0,328.0,confidence ellipsoid,90.0,2900.0,1400.0,2600.0,87.0,328.0,98.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-01T12:22:31.000000Z,37,33,32,,,,0.4,58.0,106.0,GT5,0.124,,,2.5,0.115,ML,1.0,40,reviewed
70005tkx,earthquake,,us,manual,reviewed,2019-10-12 00:30:01.811000,-104.2769,0.0148,31.6864,0.009,5000.0,1200.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1200.0,1600.0,2500.0,267.0,confidence ellipsoid,90.0,2500.0,1100.0,1600.0,36.0,267.0,72.0,us,smi:anss.org/metadata/agencyid/us,,,2019-12-21T21:58:11.000000Z,43,73,41,,,,0.62,66.0,114.0,GT5,0.089,,,2.5,0.097,ML,1.0,54,reviewed
70005rhi,earthquake,,us,manual,reviewed,2019-10-07 02:35:05.362000,-104.3129,0.0116,31.693,0.0108,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,1800.0,2900.0,7.0,confidence ellipsoid,90.0,2900.0,1600.0,1800.0,78.0,7.0,147.0,us,smi:anss.org/metadata/agencyid/us,,,2019-11-13T21:50:10.000000Z,30,67,49,,,,0.36,67.0,104.0,GT5,0.081,,,2.8,0.095,mb_Lg,1.0,32,reviewed
70005rhh,earthquake,,us,manual,reviewed,2019-10-07 02:31:41.277000,-104.3059,0.0137,31.6943,0.009,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,2100.0,2900.0,6.0,confidence ellipsoid,90.0,2900.0,1200.0,2100.0,75.0,6.0,109.0,us,smi:anss.org/metadata/agencyid/us,,,2019-11-13T21:48:42.000000Z,29,75,43,,,,0.47,67.0,104.0,GT5,0.079,,,2.8,0.083,mb_Lg,1.0,42,reviewed
70005840,earthquake,,us,manual,reviewed,2019-08-25 23:00:17.930000,-104.3,0.0148,31.65,0.0108,5000.0,1700.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,2300.0,2700.0,0.0,confidence ellipsoid,90.0,2700.0,1700.0,2300.0,71.0,0.0,66.0,us,smi:anss.org/metadata/agencyid/us,,,2019-11-02T23:04:21.000000Z,43,102,45,,,,0.35,66.0,107.0,GT5,0.123,,,2.9,0.047,ML,1.0,60,reviewed
700057ge,earthquake,,us,manual,reviewed,2019-08-23 06:52:37.216000,-104.3169,0.0169,31.6508,0.0081,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1000.0,2600.0,2900.0,260.0,confidence ellipsoid,90.0,2900.0,900.0,2600.0,83.0,260.0,166.0,us,smi:anss.org/metadata/agencyid/us,,,2019-11-06T07:30:58.000000Z,34,87,86,,,,0.95,59.0,107.0,GT5,0.123,,,2.7,0.098,mb_Lg,1.0,40,reviewed
600056v5,earthquake,,us,manual,reviewed,2019-08-19 03:10:31.419000,-104.3172,0.0169,31.6468,0.0072,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,2400.0,3000.0,295.0,confidence ellipsoid,90.0,3000.0,1100.0,2400.0,81.0,295.0,142.0,us,smi:anss.org/metadata/agencyid/us,,,2019-10-27T22:01:41.000000Z,35,65,38,,,,0.53,67.0,118.0,GT5,0.127,,,2.6,0.066,ML,1.0,66,reviewed
600055v0,earthquake,,us,manual,reviewed,2019-08-16 09:35:19.579000,-104.2985,0.0169,31.6606,0.0117,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1400.0,2400.0,2900.0,282.0,confidence ellipsoid,90.0,2900.0,1900.0,2400.0,79.0,282.0,146.0,us,smi:anss.org/metadata/agencyid/us,,,2019-10-26T11:06:00.000000Z,28,91,79,,,,0.63,66.0,106.0,GT5,0.113,,,2.8,0.081,ML,1.0,48,reviewed
60005593,earthquake,,us,manual,reviewed,2019-08-15 01:57:22.930000,-104.3163,0.0158,31.6457,0.0108,11930.0,7200.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,900.0,612.0,2396.0,53.0,confidence ellipsoid,90.0,10900.0,700.0,2800.0,89.0,2.0,51.0,us,smi:anss.org/metadata/agencyid/us,,,2019-10-27T23:07:16.000000Z,25,72,56,,,,0.59,68.0,127.0,GT5,0.128,,,2.6,0.115,ML,1.0,50,reviewed
600054he,earthquake,,us,manual,reviewed,2019-08-13 13:02:06.058000,-104.3045,0.0106,31.6858,0.0108,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1100.0,1800.0,2800.0,350.0,confidence ellipsoid,90.0,2800.0,1400.0,1800.0,69.0,350.0,144.0,us,smi:anss.org/metadata/agencyid/us,,,2019-10-27T13:22:10.000000Z,28,76,34,,,,0.38,69.0,127.0,GT5,0.088,,,2.7,0.052,ML,1.0,48,reviewed
600053t8,earthquake,,us,manual,reviewed,2019-08-11 21:55:56.646000,-104.3039,0.0159,31.6695,0.0063,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,800.0,2500.0,2900.0,259.0,confidence ellipsoid,90.0,2900.0,600.0,2500.0,89.0,259.0,169.0,us,smi:anss.org/metadata/agencyid/us,,,2019-09-11T01:29:49.000000Z,31,84,67,,,,0.94,67.0,106.0,,0.35,,,2.7,0.059,ML,1.0,38,reviewed
60004yjc,earthquake,,us,manual,reviewed,2019-08-01 03:49:12.555000,-104.5984,0.0116,31.6476,0.0117,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,900.0,2400.0,2900.0,203.0,confidence ellipsoid,90.0,2900.0,900.0,2400.0,88.0,203.0,120.0,us,smi:anss.org/metadata/agencyid/us,,,2019-10-13T21:02:33.000000Z,16,58,58,,,,0.43,73.0,114.0,,0.559,,,2.4,0.117,mb_Lg,1.0,32,reviewed
70004r4j,earthquake,,us,manual,reviewed,2019-07-23 10:42:57.234000,-104.3116,0.018,31.6896,0.0072,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1000.0,2600.0,3000.0,65.0,confidence ellipsoid,90.0,3000.0,900.0,2600.0,57.0,65.0,12.0,us,smi:anss.org/metadata/agencyid/us,,,2019-09-09T12:33:30.000000Z,32,60,44,,,,0.49,67.0,104.0,GT5,0.084,,,2.6,0.115,ML,1.0,44,reviewed
70004qf5,earthquake,,us,manual,reviewed,2019-07-22 10:44:16.990000,-104.3206,0.0116,31.6481,0.009,5000.0,1700.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,900.0,2000.0,2600.0,322.0,confidence ellipsoid,90.0,2600.0,1000.0,2000.0,70.0,322.0,164.0,us,smi:anss.org/metadata/agencyid/us,,,2019-08-22T08:00:02.000000Z,41,62,38,,,,0.42,67.0,107.0,GT5,0.126,,,2.7,0.075,mb_Lg,1.0,62,reviewed
