API_UWI,API_UWI_12,WellID,LogId,DocumentName,FileExtension,DocumentType,LogType,LogTypeCode,TopDepth,BaseDepth,DocCategory,Description,NumberOfCurves,DepthIndexType,FileSize,DateUpdated,has_resistivity,has_gamma_ray,has_porosity_nphi,has_caliper,has_density,has_gas,has_porosity_dphi,has_porosity,has_lithology,has_sonic_transit_time,has_spontaneous_potential,has_photoelectric_effect,has_dipmeter,has_porosity_sphi,has_spectral_gamma_ray,has_total_organic_carbon,has_rate_of_penetration
42-109-33224,42-109-33224-00,840420004679273,815129112,42-109-33224-00-00_DIG_RS0045708298.LAS,LAS,DIGITAL_LOG,RAW,100,8400.00,13890.00,LAS,"CCL,CRNF,DTC_CHI,DTC_OH,GR_CHI,GR_OH,NPHI_CHI,NPHI_OH,PE_CHI,PE_OH,RHOB_CHI,RHOB_OH,RIN,RT10_CHI,RT10_OH,RT30_CHI,RT30_OH,RT90_CHI,RT90_OH,SGF,SPHI_CHI",21,,2113021,2021-02-23,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
42-109-33545,42-109-33545-00,840420005419703,817087632,42-109-33545-00-00_EC_RS0055848307.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,8400.00,14661.00,LAS,"DT,DT__01,GR,GR__01,NPHI,NPHI__01,PE,PE__01,RESD_LL,RESD_LL__01,RESS_LL,RESS_LL__01,RHOB,RHOB__01",14,MD,2848653,2023-11-03,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
42-109-33545,42-109-33545-00,840420005419703,816864477,42-109-33545-00-00_DIG_RS0054653994.LAS,LAS,DIGITAL_LOG,RAW,100,8400.00,14661.00,LAS,"CCL,DTC_CHI,DTC_OH,GR_CHI,GR_OH,LLD_CHI,LLD_OH,LLS_CHI,LLS_OH,NPHI_CHI,NPHI_OH,PE_CHI,PE_OH,RHOB_CHI,RHOB_OH,SPHW_CHI",16,,1920310,2022-12-15,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
42-109-33545,42-109-33545-00,840420005419703,817106550,42-109-33545-00-00_ECP_RS0055868559.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,8400.00,14661.00,LAS,"DPHI_265_E,DPHI_271_E,DT_E,GR_E,NPHI_E,PE_E,RESD_LL_E,RESS_LL_E,RHOB_E",33,MD,6419037,2023-11-20,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
42-389-32421,42-389-32421-00,840420000644221,816072856,42-389-32421-01-00_ECP_RS0052513995.LAS,LAS,DIGITAL_LOG,ESSENTIALS_PLUS,105,182.00,14780.00,LAS,"CALI_E,DPHI_265_E,DPHI_271_E,DRHO_E,DT_E,GR_E,NPHI_E,PE_E,RHOB_E",33,MD,14955968,2023-11-21,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
42-389-32421,42-389-32421-00,840420000644221,816064052,42-389-32421-01-00_EC_RS0051546873.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,182.00,14775.00,LAS,"CALI__A,DPHI__A,DT__A,GR__A,NPHI__A,RHOB__A",6,MD,3126654,2023-11-04,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-389-32421,42-389-32421-00,840420000644221,816026733,42-389-32421-01-00_DIG_RS0051227099.LAS,LAS,DIGITAL_LOG,RAW,100,2000.00,14700.00,LAS,"DT,SPHI",2,,1223733,2021-10-17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42-389-32421,42-389-32421-00,840420000644221,816064054,42-389-32421-01-00_EC_RS0051546876.LAS,LAS,DIGITAL_LOG,ESSENTIALS,101,2000.00,14700.00,LAS,"DT,SPHI",2,MD,1199958,2023-11-04,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42-389-32421,42-389-32421-00,840420000644221,816026662,42-389-32421-01-00_DIG_RS0051226874.LAS,LAS,DIGITAL_LOG,RAW,100,182.00,14775.00,LAS,"CAL,DPHI,DT,GR,NPHI,RHOB",6,MD,1836073,2021-10-17,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
42-109-32611,42-109-32611-00,840420000577770,815934304,42-109-32611-90-00_DIG_RS0051093439.LAS,LAS,DIGITAL_LOG,RAW,100,2210.00,10624.00,LAS,"CAL,DT,GR",3,MD,845267,2023-03-31,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
