ev_id,type,type_certainty,agency,evaluation_mode,evaluation_status,origin_time,longitude,longitude_error,latitude,latitude_error,depth,depth_error,method_id,earth_model_id,horizontal_uncertainty,min_horizontal_uncertainty,max_horizontal_uncertainty,azimuth_max_horizontal_uncertainty,semi_major_axis_length,semi_minor_axis_length,semi_intermediate_axis_length,major_axis_plunge,major_axis_azimuth,major_axis_rotation,associated_phase_count,used_phase_count,associated_station_count,used_station_count,depth_phase_count,standard_error,azimuthal_gap,secondary_azimuthal_gap,ground_truth_level,minimum_distance,maximum_distance,median_distance,magnitude,uncertainty,type,method_id,station_count,evaluation_status
1000bsxn,earthquake,,us,manual,reviewed,2017-12-19 04:59:37.350000,-103.2392,0.0483,31.1514,0.0279,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,3000.0,8400.0,303.0,8400.0,800.0,3000.0,0.0,303.0,357.0,41,41,,,,0.7,51.0,59.0,GT5,0.242,,,2.5,0.109,mb_Lg,1.0,23,reviewed
1000bwx0,earthquake,,us,manual,reviewed,2017-12-27 23:50:37.560000,-103.3311,0.0242,31.1834,0.0207,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1600.0,3100.0,4800.0,134.0,4800.0,1000.0,3100.0,2.0,134.0,348.0,30,30,,,,0.68,57.0,92.0,,0.495,,,2.7,0.17,mb_Lg,1.0,9,reviewed
tx2018bpfgvr,earthquake,known,TX,manual,final,2018-01-23 10:42:16.849766,-103.321,2.253996263419507,31.197,1.1702007503665124,6586.9,4122.515882713564,smi:org.gfz-potsdam.de/geofon/NonLinLoc,smi:org.gfz-potsdam.de/geofon/PB1D-20170918-topoLV,3550.628181981736,1492.560920750708,3550.628181981736,107.33844913718804,8276156.114574522,1802803.8264406768,3319037.519723759,22.560074775170346,157.8023020923933,94.20217276730246,17,13,,8,,0.3,111.0,177.0,-,0.2,0.9,0.5,2.2,0.3,ML,trimmed_mean,8,confirmed
2000d0n2,earthquake,,us,manual,reviewed,2018-02-11 21:39:05.160000,-103.2893,0.0473,31.1738,0.0279,5000.0,1900.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1600.0,3000.0,8200.0,124.0,8200.0,600.0,3000.0,0.0,124.0,186.0,52,52,,,,0.71,47.0,76.0,GT5,0.212,,,3.0,0.091,ML,1.0,62,reviewed
2000dc22,earthquake,,us,manual,reviewed,2018-03-04 13:57:52.960000,-103.2977,0.0221,31.1496,0.009,6920.0,5200.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1500.0,1321.0,2731.0,84.0,8000.0,1500.0,3200.0,87.0,154.0,110.0,31,20,,,,0.32,73.0,111.0,GT5,0.23,,,2.7,0.1,mb_Lg,1.0,29,reviewed
1000d1ks,earthquake,,us,manual,reviewed,2018-03-08 17:41:32.740000,-103.2415,0.041,31.2118,0.0216,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,2000.0,3000.0,6900.0,120.0,6900.0,1300.0,3000.0,3.0,120.0,184.0,36,33,,,,1.08,52.0,84.0,,0.299,,,2.5,0.154,mb_Lg,1.0,12,reviewed
1000d4us,earthquake,,us,manual,reviewed,2018-03-15 17:47:01.970000,-103.2466,0.0231,31.151,0.018,5000.0,2000.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1700.0,3000.0,4300.0,131.0,4300.0,1600.0,3000.0,0.0,131.0,181.0,29,16,,,,0.41,70.0,106.0,GT5,0.24,,,3.0,0.088,ML,1.0,58,reviewed
1000edj5,earthquake,,us,manual,reviewed,2018-05-28 20:15:46.000000,-103.2235,0.021,31.1319,0.0117,5000.0,1800.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1300.0,2700.0,3500.0,299.0,3500.0,1200.0,2700.0,17.0,299.0,357.0,56,25,,,,0.34,67.0,78.0,GT5,0.228,,,3.0,0.085,ML,1.0,70,reviewed
1000ehr0,earthquake,,us,manual,reviewed,2018-06-03 07:44:31.540000,-103.2372,0.0231,31.1197,0.0153,6770.0,6200.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,1900.0,2252.0,2814.0,103.0,9400.0,2600.0,3300.0,87.0,180.0,102.0,41,19,,,,0.57,53.0,90.0,GT5,0.212,,,3.1,0.115,ML,1.0,62,reviewed
1000ehtw,earthquake,,us,manual,reviewed,2018-06-03 10:57:20.490000,-103.2473,0.0221,31.1606,0.045,3610.0,5600.0,smi:us.anss.org/metadata/methodid/origin/RayLocator/1.0,smi:us.anss.org/metadata/methodid/earthModel/ak135/1.0,3100.0,2390.0,6692.0,168.0,8700.0,2800.0,7700.0,72.0,348.0,360.0,42,30,,,,0.43,71.0,80.0,GT5,0.249,,,3.1,0.07,ML,1.0,68,reviewed
