Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
TX PB29 HH2 00,0.4546590154,285.2039322,P,2022-11-16T21:32:53.422Z,manual,-0.4699734103,
TX DG02 CH2 00,0.4548760947,121.3101983,P,2022-11-16T21:32:53.826Z,manual,0.03041140548,0.9659311943
TX DG02 CH1 00,0.4548760947,121.3101983,S,2022-11-16T21:33:00.268Z,manual,-0.5145353243,
GM NMP31 HHN 01,0.4586819082,29.50511714,P,2022-11-16T21:32:53.817Z,manual,-0.08918370382,1.097296229
TX PB37 HH2 00,0.4588507684,280.6478966,P,2022-11-16T21:32:53.607Z,manual,-0.368789471,
TX PB37 HH1 00,0.4588507684,280.6478966,S,2022-11-16T21:32:59.905Z,manual,-1.191958643,
GM NMP02 HHN 01,0.4682437261,14.65028508,P,2022-11-16T21:32:53.965Z,manual,-0.125471782,1.01292249
TX PCOS HHN 00,0.4755707842,118.7803512,P,2022-11-16T21:32:54.258Z,manual,0.0771454498,0.9379914005
TX PCOS HHE 00,0.4755707842,118.7803512,S,2022-11-16T21:33:01.245Z,manual,-0.2109771772,0.6242999354
TX DG09 CH2 00,0.49244757,122.6568187,P,2022-11-16T21:32:54.530Z,manual,0.03098179533,0.9584865258
GM NMP12 HHN 01,0.4931506059,4.788517721,P,2022-11-16T21:32:54.335Z,manual,-0.2133103617,0.7597295903
TX DG06 CH2 00,0.4932828739,117.1958352,P,2022-11-16T21:32:54.606Z,manual,0.09308756722,0.9215535744
TX DG06 CH2 00,0.4932828739,117.1958352,S,2022-11-16T21:33:01.789Z,manual,-0.2476545206,0.5888862895
GM NMP41 HHN 01,0.5033884852,42.98725227,P,2022-11-16T21:32:54.500Z,manual,-0.2422632456,
GM NMP41 HHE 01,0.5033884852,42.98725227,S,2022-11-16T21:33:01.800Z,manual,-0.6388785779,
TX DG08 CH1 00,0.5048801691,152.4515032,P,2022-11-16T21:32:54.283Z,manual,-0.4726831946,
TX DG08 CH1 00,0.5048801691,152.4515032,S,2022-11-16T21:33:01.328Z,manual,-1.133568566,
TX DG03 CH2 00,0.5048911493,119.5868922,P,2022-11-16T21:32:54.794Z,manual,0.0531248487,0.9474914991
TX DG03 CH2 00,0.5048911493,119.5868922,S,2022-11-16T21:33:02.019Z,manual,-0.4175266671,
4O LWM2 HHZ 0K,0.5101243886,136.2029496,P,2022-11-16T21:32:54.659Z,manual,-0.1756757063,0.7916265968
4O LWM2 HHE 0K,0.5101243886,136.2029496,S,2022-11-16T21:33:02.068Z,manual,-0.5325629428,
4O LWM1 HHZ 0K,0.5141647447,142.324561,P,2022-11-16T21:32:54.694Z,manual,-0.2205056102,0.7127222459
4O LWM1 HHE 0K,0.5141647447,142.324561,S,2022-11-16T21:33:02.195Z,manual,-0.5449458613,
SC PDB HHN 00,0.5543872717,38.23757938,P,2022-11-16T21:32:55.459Z,manual,-0.2562345191,
SC PDB HHE 00,0.5543872717,38.23757938,S,2022-11-16T21:33:03.768Z,manual,-0.3728774883,
GM NMP23 HHZ 01,0.5567573036,17.58941913,P,2022-11-16T21:32:55.528Z,manual,-0.2370754947,
GM NMP23 HHE 01,0.5567573036,17.58941913,S,2022-11-16T21:33:04.189Z,manual,-0.03960146361,0.6997124295
GM NMP01 HHN 01,0.5810370843,11.87053588,P,2022-11-16T21:32:55.932Z,manual,-0.2886218026,
TX DG04 CH1 00,0.6110330187,125.025231,S,2022-11-16T21:33:04.834Z,manual,-1.075925311,
GM NMP51 HHN 01,0.613983072,53.21059402,P,2022-11-16T21:32:56.530Z,manual,-0.2930270651,
GM NMP51 HHN 01,0.613983072,53.21059402,S,2022-11-16T21:33:05.178Z,manual,-0.9012478082,
SC CL2B EH? 00,0.63676089,9.430715816,P,2022-11-16T21:32:56.992Z,manual,-0.5209884481,
SC GDL2 HHN 00,0.6445821914,331.5539008,P,2022-11-16T21:32:56.698Z,manual,-0.7528582727,
4O PL01 HHN 00,0.6516241602,56.66758051,P,2022-11-16T21:32:57.203Z,manual,-0.3208085069,
GM NMP44 HHN 01,0.6542330558,29.719911,P,2022-11-16T21:32:57.235Z,manual,-0.3687936719,
TX PB06 HHZ 00,0.6657049965,89.12392521,P,2022-11-16T21:32:57.574Z,manual,-0.1868519873,0.8255633232
TX PB06 HH1 00,0.6657049965,89.12392521,S,2022-11-16T21:33:06.186Z,manual,-1.535557459,
TX PB30 HHZ 00,0.6790601459,121.7639879,P,2022-11-16T21:32:57.975Z,manual,-0.03542309012,1.091569313
TX PB30 HHN 00,0.6790601459,121.7639879,S,2022-11-16T21:33:07.203Z,manual,-0.9554084788,
TX PB03 HHZ 00,0.6919191011,143.2789943,P,2022-11-16T21:32:57.889Z,manual,-0.3707963675,
TX PB03 HH1 00,0.6919191011,143.2789943,S,2022-11-16T21:33:07.303Z,manual,-1.291722763,
TX PB05 HHZ 00,0.9212758196,141.2690942,P,2022-11-16T21:33:01.729Z,manual,-0.7619020893,
TX PB05 HH1 00,0.9212758196,141.2690942,S,2022-11-16T21:33:14.327Z,manual,-1.673355182,
4O DB03 HHZ,0.9444318461,123.4998097,P,2022-11-16T21:33:02.281Z,manual,-0.6061937544,
4O DB03 HHE,0.9444318461,123.4998097,S,2022-11-16T21:33:15.457Z,manual,-1.237554009,
TX PB22 HHZ 00,0.9486455017,116.6374362,P,2022-11-16T21:33:01.373Z,manual,-1.5850591,
TX PB22 HH1 00,0.9486455017,116.6374362,S,2022-11-16T21:33:15.295Z,manual,-1.522783098,
4O DB04 HHZ,0.9541560896,126.7764126,P,2022-11-16T21:33:02.442Z,manual,-0.6302403846,
TX PECS HN1 00,0.2890401341,157.0836592,P,2022-11-16T21:32:50.399Z,manual,,0
TX PECS HN1 00,0.2890401341,157.0836592,S,2022-11-16T21:32:54.676Z,manual,,0
TX PB11 HNZ 00,0.3002904793,354.2692406,P,2022-11-16T21:32:50.899Z,manual,,0
TX PB11 HN2 00,0.3002904793,354.2692406,S,2022-11-16T21:32:55.525Z,manual,,0
