event_index,src_lon,src_lat,src_x[km],src_y[km],src_z[km],station_index,travel_time,network,station,station_latitude,station_longitude,station_elevation,station_starttime,station_endtime,channel,location_code,latitude,longitude,elevation,depth,site,epoch,starttime,endtime,equipment,sampling_rate,sensitivity,frequency,azimuth,dip,x[km],y[km],z[km],phasehint
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,224,8.82089514020023,TX,PB38,31.72972,-104.426634,1240.0,2022-07-29T00:00:00.000000Z,,HHZ,0.0,31.72972,-104.426634,1.24,0.0,UTL Block 46,0,2022-07-29T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,3727.8842331019605,-11624.71972213555,-1.24,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,221,8.850701512240528,TX,PB35,31.656187,-104.43203,1224.0,2022-07-27T00:00:00.000000Z,,HHZ,0.0,31.656187,-104.43203,1.224,0.0,UTL Block 46,0,2022-07-27T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,3718.263959731859,-11625.32040210787,-1.224,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,47,9.248394558840173,4O,SA07,31.86578,-104.36481,1103.0,2022-07-31T17:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,0.0,31.86578,-104.36481,1.103,0.0,True Blue SWD,0,2022-07-31T17:00:00.000000Z,2030-11-04T20:44:14.000000Z,"Silicon Audio, Inc. 113P-10",100.0,185031178.4608349,1.0,0.0,-90.0,3745.70503280264,-11617.837505936746,-1.103,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,184,10.154460645629058,TX,PB28,31.66864,-104.50077,1204.0,2020-03-05T22:00:00.000000Z,,HHZ,0.0,31.66864,-104.50077,1.204,0.0,Culberson South,0,2020-03-05T22:00:00.000000Z,,Nanometrics Trillium Compact 20s,100.0,298993456.8406871,1.0,0.0,-90.0,3719.892641442299,-11632.972503905,-1.204,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,183,10.529513479673307,TX,PB29,31.75299,-104.514453,1242.0,2020-03-06T00:00:00.000000Z,,HHZ,0.0,31.75299,-104.514453,1.242,0.0,Culberson North,0,2020-03-06T00:00:00.000000Z,,Silicon Au,100.0,299993420.1658899,1.0,0.0,-90.0,3730.930221214746,-11634.495688497524,-1.242,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,35,7.307300699747769,4O,CT01,31.90285,-104.144532,994.0,2022-02-25T21:22:39.064000Z,2030-11-04T20:44:14.000000Z,HHZ,,31.90285,-104.144532,0.994,0.5,"""Z""",0,2022-02-25T21:22:39.064000Z,2030-11-04T20:44:14.000000Z,,200.0,1.2990986377509573e+26,1.0,0.0,-90.0,3750.5649248598124,-11593.316271143785,-0.994,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,257,4.464257886172687,TX,PB55,31.8028225,-103.9381042,913.0,2024-03-20T14:00:00.000000Z,,CHE,0.0,31.8028225,-103.9381042,0.913,0.0,BPX Bishop SWD,0,2024-03-20T14:00:00.000000Z,,Silicon Audio 213P-40,250.0,239989651.54648724,1.0,90.0,0.0,3737.4557547462186,-11570.336833562209,-0.913,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,160,4.041620830416547,TX,PB13,31.5542,-103.8458,956.1,2019-04-25T00:00:00.000000Z,,HHZ,0.0,31.5542,-103.8458,0.9561,0.0,Reeves - Culberson Border,0,2019-04-25T00:00:00.000000Z,2020-09-08T00:00:00.000000Z,Guralp CMG-40T,200.0,327893563.4134574,1.0,0.0,-90.0,3704.9336583536183,-11560.061577020128,-0.9561,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,258,3.647556170532877,TX,PB57,31.7692277,-103.965278,919.0,2024-03-20T14:00:00.000000Z,,CHE,0.0,31.7692277,-103.965278,0.919,0.0,BPX B57T2S45,0,2024-03-20T14:00:00.000000Z,,Silicon Audio 213P-40,250.0,360007929.7978944,1.0,90.0,0.0,3733.0561513720404,-11573.361807141127,-0.919,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,2.5,46,1.6383065789754023,4O,WB03,31.6107215,-103.9688386,994.0,2022-05-10T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHE,0.0,31.6107215,-103.9688386,0.994,0.0,Waterbridge  BHS 56-8 1D,0,2022-05-10T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 213P-40,200.0,361553486.7980263,1.0,90.0,0.0,3712.319547402024,-11573.758171320045,-0.994,P
