ev_id,longitude,latitude,depth,S-P,Author
texnet2021mhkx,-104.36741,31.6699,5.943,False,TexNet HighRes
texnet2021mhkv,-104.36763,31.6708,5.883,False,TexNet HighRes
texnet2021mhkt,-104.36655,31.6708,5.85,False,TexNet HighRes
texnet2021mhkk,-104.31219,31.65461,6.565,False,TexNet HighRes
texnet2021mhjs,-104.30302,31.69015,7.054,False,TexNet HighRes
texnet2021mhfe,-103.99333,31.59936,6.948,False,TexNet HighRes
texnet2021mhat,-104.551,31.65894,6.756,False,TexNet HighRes
texnet2021mhas,-104.31589,31.65645,6.614,False,TexNet HighRes
texnet2021mhak,-103.99641,31.59824,7.172,False,TexNet HighRes
texnet2021mgwp,-104.39547,31.67659,6.407,False,TexNet HighRes
texnet2021mguj,-104.16441,31.6026,6.516,False,TexNet HighRes
texnet2021mgrp,-104.32457,31.66088,6.394,False,TexNet HighRes
texnet2021mgmh,-104.40893,31.67979,5.694,False,TexNet HighRes
texnet2021mgbx,-104.40313,31.68093,5.633,False,TexNet HighRes
texnet2021mftm,-104.40696,31.68128,5.515,False,TexNet HighRes
texnet2021mfpg,-104.31536,31.65284,6.257,False,TexNet HighRes
texnet2021mfor,-104.41286,31.68004,5.844,False,TexNet HighRes
texnet2021mfol,-104.24901,31.6344,6.477,False,TexNet HighRes
texnet2021mfod,-104.41192,31.67938,5.865,False,TexNet HighRes
texnet2021mbil,-104.24726,31.63335,6.513,False,TexNet HighRes
texnet2021mbfb,-104.24,31.59199,6.559,False,TexNet HighRes
texnet2021ltgk,-104.10006,31.61434,6.619,False,TexNet HighRes
texnet2021lvwo,-104.44453,31.72222,5.974,False,TexNet HighRes
texnet2021lvtg,-104.47174,31.68816,5.671,False,TexNet HighRes
texnet2021lvre,-104.53861,31.66428,6.598,False,TexNet HighRes
texnet2021lvpo,-104.09657,31.61383,6.678,False,TexNet HighRes
texnet2021lvno,-104.38254,31.67449,6.686,False,TexNet HighRes
texnet2021lvhf,-104.36051,31.67959,4.721,False,TexNet HighRes
texnet2021lvgo,-104.47086,31.68905,5.619,False,TexNet HighRes
texnet2021lvai,-104.09537,31.61437,6.6,False,TexNet HighRes
texnet2021lupw,-104.27962,31.72192,5.917,False,TexNet HighRes
texnet2021luel,-104.37272,31.66228,8.831,False,TexNet HighRes
texnet2021luek,-104.37442,31.67309,5.874,False,TexNet HighRes
texnet2021lued,-104.4788,31.7204,6.157,False,TexNet HighRes
texnet2021ltwm,-104.2454,31.63228,6.47,False,TexNet HighRes
texnet2021ltvl,-104.53721,31.66591,6.377,False,TexNet HighRes
texnet2021ltuo,-104.10115,31.61506,6.812,False,TexNet HighRes
texnet2021ltti,-104.53695,31.66322,6.7,False,TexNet HighRes
texnet2021lttf,-104.53745,31.66539,6.417,False,TexNet HighRes
texnet2021ltsx,-104.53739,31.66555,6.457,False,TexNet HighRes
texnet2021ltst,-104.38352,31.6733,6.972,False,TexNet HighRes
texnet2021ltsa,-104.53725,31.66578,6.428,False,TexNet HighRes
texnet2021ltor,-104.53662,31.66337,6.648,False,TexNet HighRes
texnet2021ltnl,-104.5375,31.66386,6.555,False,TexNet HighRes
texnet2021ltmu,-104.38675,31.67485,6.741,False,TexNet HighRes
texnet2021ltlm,-104.41324,31.67852,6.273,False,TexNet HighRes
texnet2021lvuq,-104.47281,31.68811,5.715,False,TexNet HighRes
texnet2021lwfm,-104.55013,31.66929,7.697,False,TexNet HighRes
texnet2021mbdl,-104.36496,31.6646,7.178,False,TexNet HighRes
texnet2021lwhq,-104.37585,31.6766,5.505,False,TexNet HighRes
texnet2021mbcf,-104.34137,31.61985,6.775,False,TexNet HighRes
texnet2021mavy,-104.4208,31.68134,5.987,False,TexNet HighRes
texnet2021maul,-104.13417,31.55693,6.569,False,TexNet HighRes
texnet2021masy,-104.44745,31.67219,5.542,False,TexNet HighRes
texnet2021mami,-104.10758,31.6155,7.329,False,TexNet HighRes
texnet2021magd,-104.36548,31.6643,7.289,False,TexNet HighRes
texnet2021maft,-104.29409,31.66066,6.755,False,TexNet HighRes
texnet2021mabd,-104.10634,31.61475,7.321,False,TexNet HighRes
texnet2021lzzg,-104.09648,31.61614,6.485,False,TexNet HighRes
texnet2021lzxf,-104.25028,31.59517,5.668,False,TexNet HighRes
texnet2021lzjt,-104.09776,31.61192,6.871,False,TexNet HighRes
texnet2021lyou,-104.1057,31.61707,6.682,False,TexNet HighRes
texnet2021lykw,-104.26291,31.60904,7.807,False,TexNet HighRes
texnet2021lyfy,-104.41103,31.67817,6.277,False,TexNet HighRes
texnet2021lyaz,-104.38108,31.6785,5.693,False,TexNet HighRes
texnet2021lxrc,-104.46671,31.69658,6.363,False,TexNet HighRes
texnet2021lxje,-104.20232,31.59077,7.633,False,TexNet HighRes
texnet2021lxgb,-104.16768,31.68242,6.208,False,TexNet HighRes
texnet2021lxcd,-104.01759,31.58122,6.943,False,TexNet HighRes
texnet2021lwzg,-104.48123,31.66905,6.232,True,TexNet HighRes
texnet2021lwwh,-104.44696,31.67119,5.983,False,TexNet HighRes
texnet2021lwpf,-104.01402,31.58142,7.367,False,TexNet HighRes
texnet2021lwnb,-104.22362,31.60249,7.894,False,TexNet HighRes
texnet2021lewa,-104.2405,31.59496,6.127,False,TexNet HighRes
texnet2021levg,-104.24239,31.59503,6.073,False,TexNet HighRes
texnet2022jjpx,-104.00307,31.59354,6.349,False,TexNet HighRes
texnet2021kisp,-104.22275,31.6488,7.41,False,TexNet HighRes
texnet2021kimg,-104.206,31.59374,6.204,False,TexNet HighRes
texnet2021kimb,-104.09698,31.61547,6.55,False,TexNet HighRes
texnet2021kiew,-104.3837,31.67532,6.35,False,TexNet HighRes
texnet2021kiem,-104.09543,31.61464,6.623,False,TexNet HighRes
texnet2021kidl,-104.16433,31.56561,7.352,False,TexNet HighRes
texnet2021khrn,-104.55788,31.72691,6.548,False,TexNet HighRes
texnet2021khqv,-104.52278,31.59874,8.42,False,TexNet HighRes
texnet2021khbn,-104.20333,31.59347,6.531,False,TexNet HighRes
texnet2021khbf,-104.27464,31.62248,5.691,False,TexNet HighRes
texnet2021kgvd,-104.44833,31.67197,5.6,False,TexNet HighRes
texnet2021kgug,-104.392,31.67476,7.152,False,TexNet HighRes
texnet2021kgrb,-104.20889,31.59575,6.6,False,TexNet HighRes
texnet2021kgpc,-104.36801,31.66894,6.776,False,TexNet HighRes
texnet2021kgoi,-104.36944,31.66821,6.917,False,TexNet HighRes
texnet2021kgnv,-104.38025,31.69186,6.25,False,TexNet HighRes
texnet2021kgbj,-104.38584,31.67438,6.616,False,TexNet HighRes
texnet2021kfvq,-104.37281,31.67239,6.98,False,TexNet HighRes
texnet2021kfvp,-104.38011,31.69294,6.25,False,TexNet HighRes
texnet2021kfrw,-104.39568,31.67635,6.398,False,TexNet HighRes
texnet2021kfbz,-104.36852,31.6715,5.89,False,TexNet HighRes
texnet2021kfbu,-104.36842,31.6719,5.771,False,TexNet HighRes
texnet2021kexi,-104.25636,31.6098,6.11,False,TexNet HighRes
texnet2021kevg,-104.25669,31.60984,6.17,False,TexNet HighRes
texnet2021kipk,-104.38229,31.69104,6.265,False,TexNet HighRes
texnet2021kivj,-103.99949,31.71255,7.981,False,TexNet HighRes
texnet2021kebq,-104.49894,31.6501,6.219,True,TexNet HighRes
texnet2021kjan,-104.39692,31.68156,5.553,False,TexNet HighRes
texnet2021kmga,-104.20573,31.59517,6.627,False,TexNet HighRes
texnet2021kmed,-104.24522,31.60537,6.686,False,TexNet HighRes
texnet2021kmdm,-104.24601,31.60477,6.658,False,TexNet HighRes
texnet2021kmda,-104.24362,31.60497,6.661,False,TexNet HighRes
texnet2021klyd,-104.24463,31.60391,6.77,False,TexNet HighRes
texnet2021klvl,-104.43853,31.67747,6.157,False,TexNet HighRes
texnet2021klqv,-104.57117,31.7096,5.97,False,TexNet HighRes
texnet2021klpw,-104.57105,31.70998,5.938,False,TexNet HighRes
texnet2021kllp,-104.54238,31.72297,6.817,False,TexNet HighRes
texnet2021klik,-104.24667,31.60384,6.822,False,TexNet HighRes
texnet2021klid,-104.24665,31.6039,6.797,False,TexNet HighRes
texnet2021klbb,-104.49291,31.66795,6.907,True,TexNet HighRes
texnet2021kkrj,-104.39733,31.67547,6.902,False,TexNet HighRes
texnet2021kkmd,-104.27479,31.62212,5.673,False,TexNet HighRes
texnet2021kklm,-104.39557,31.67506,6.939,False,TexNet HighRes
texnet2021kkjb,-104.4148,31.67931,6.329,False,TexNet HighRes
texnet2021kkgo,-104.10258,31.613,7.047,False,TexNet HighRes
texnet2021kkdm,-104.3847,31.67579,6.255,False,TexNet HighRes
texnet2021kjyi,-104.2679,31.60958,6.157,False,TexNet HighRes
texnet2021kjtz,-104.50806,31.71158,5.569,False,TexNet HighRes
texnet2021kjrp,-104.10295,31.61692,6.766,False,TexNet HighRes
texnet2021kjer,-104.49567,31.66807,7.107,True,TexNet HighRes
texnet2021kjej,-104.49534,31.66802,7.17,False,TexNet HighRes
texnet2021keuu,-103.94344,31.72777,7.586,False,TexNet HighRes
texnet2021kdta,-104.01736,31.58134,6.991,False,TexNet HighRes
texnet2021kmhj,-104.24442,31.60554,6.659,False,TexNet HighRes
texnet2021karq,-104.09865,31.61141,7.025,False,TexNet HighRes
texnet2021jzth,-104.39024,31.67958,5.764,False,TexNet HighRes
texnet2021jztf,-104.3792,31.66408,6.157,False,TexNet HighRes
texnet2021jzte,-104.31799,31.66686,6.286,False,TexNet HighRes
texnet2021jzsp,-104.4117,31.67806,5.981,False,TexNet HighRes
texnet2021jzpb,-104.41278,31.67884,5.988,False,TexNet HighRes
texnet2021jzmb,-104.41265,31.67876,6.184,False,TexNet HighRes
texnet2021jzkj,-104.39056,31.67924,5.74,False,TexNet HighRes
texnet2021jzej,-104.1059,31.61654,6.732,False,TexNet HighRes
texnet2021jzdt,-104.33345,31.66277,7.006,False,TexNet HighRes
texnet2021jzdf,-104.56038,31.72694,6.297,False,TexNet HighRes
texnet2021jzcw,-104.38044,31.68889,6.591,False,TexNet HighRes
texnet2021jzan,-103.98918,31.49464,6.528,False,TexNet HighRes
texnet2021jynn,-104.2746,31.6125,6.068,False,TexNet HighRes
