pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20221116.213247.21-P-TX.PB33.00.HH,2022-11-16 21:32:47.210000,0.04,P,TX,PB33,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:46.500000,2022-11-16 21:32:51.230000,0.05,35.8,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB33/TX.PB33.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213247.31-S-TX.PB24.00.HH,2022-11-16 21:32:47.315000,0.2,S,TX,PB24,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:44.885000,2022-11-16 21:32:48.215000,0.13,13.2,31.61979,-104.01776,997.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB24/TX.PB24.00.HHE__20221116T213000Z__20221116T213459Z.mseed
20221116.213247.58-P-TX.PB26.00.HH,2022-11-16 21:32:47.583000,0.12,P,TX,PB26,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:46.423000,2022-11-16 21:32:51.583000,0.09,31.9,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB26/TX.PB26.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213247.61-P-TX.PB43.00.HH,2022-11-16 21:32:47.610000,0.09,P,TX,PB43,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:46.160000,2022-11-16 21:32:52.290000,0.08,25.7,31.680019,-103.864872,896.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB43/TX.PB43.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213247.84-S-TX.PB20.00.HH,2022-11-16 21:32:47.841000,0.1,S,TX,PB20,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:45.461000,2022-11-16 21:32:49.011000,0.05,11.7,31.6281,-104.06179,1022.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB20/TX.PB20.00.HHE__20221116T213000Z__20221116T213500Z.mseed
20221116.213247.86-S-TX.PB34.00.HH,2022-11-16 21:32:47.860000,0.07,S,TX,PB34,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:45.610000,2022-11-16 21:32:49.560000,0.13,12.3,31.676667,-104.037778,969.3,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB34/TX.PB34.00.HH1__20221116T213000Z__20221116T213500Z.mseed
20221116.213247.90-S-TX.PB40.00.HH,2022-11-16 21:32:47.900000,0.34,S,TX,PB40,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:45.460000,2022-11-16 21:32:49.100000,0.21,8.6,31.6419935,-103.9339588,935.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB40/TX.PB40.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213248.30-S-TX.PB23.00.HH,2022-11-16 21:32:48.309000,0.63,S,TX,PB23,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:46.439000,2022-11-16 21:32:49.439000,0.63,16.1,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB23/TX.PB23.00.HHN__20221116T212959Z__20221116T213459Z.mseed
20221116.213248.33-P-TX.PB13.01.HH,2022-11-16 21:32:48.330000,0.16,P,TX,PB13,01,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:47.560000,2022-11-16 21:32:52.560000,0.16,48.1,31.5542,-103.8458,956.1,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB13/TX.PB13.01.HHN__20221116T213000Z__20221116T213500Z.mseed
20221116.213248.60-S-TX.PB25.00.HH,2022-11-16 21:32:48.609000,0.03,S,TX,PB25,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:46.679000,2022-11-16 21:32:50.059000,0.06,9.1,31.58308,-104.07019,1037.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB25/TX.PB25.00.HHZ__20221116T212959Z__20221116T213459Z.mseed
20221116.213249.87-S-TX.PB33.00.HH,2022-11-16 21:32:49.870000,0.05,S,TX,PB33,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:46.500000,2022-11-16 21:32:51.230000,0.05,9.9,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB33/TX.PB33.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213250.00-S-TX.PB26.00.HH,2022-11-16 21:32:50.003000,0.11,S,TX,PB26,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:46.423000,2022-11-16 21:32:51.583000,0.09,10.9,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB26/TX.PB26.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213250.06-S-TX.PB43.00.HH,2022-11-16 21:32:50.060000,0.09,S,TX,PB43,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:46.160000,2022-11-16 21:32:52.290000,0.08,6.3,31.680019,-103.864872,896.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB43/TX.PB43.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213250.06-S-TX.PB31.00.HH,2022-11-16 21:32:50.060000,0.01,S,TX,PB31,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:46.670000,2022-11-16 21:32:51.660000,0.04,5.7,31.73226,-104.030536,907.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB31/TX.PB31.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213251.13-S-TX.PB13.01.HH,2022-11-16 21:32:51.130000,0.23,S,TX,PB13,01,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:47.560000,2022-11-16 21:32:52.560000,0.16,9.1,31.5542,-103.8458,956.1,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB13/TX.PB13.01.HHN__20221116T213000Z__20221116T213500Z.mseed
20221116.213252.00-P-TX.PB35.00.HH,2022-11-16 21:32:52.000000,0.9,P,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:51.860000,2022-11-16 21:33:00.100000,0.8,41.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed
20221116.213252.00-P-TX.PB38.00.HH,2022-11-16 21:32:52.000000,0.92,P,TX,PB38,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:51.780000,2022-11-16 21:33:00.690000,0.85,33.4,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213252.00-P-TX.PB36.00.HH,2022-11-16 21:32:52.000000,0.91,P,TX,PB36,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:51.850000,2022-11-16 21:33:00.690000,0.76,29.7,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213252.01-P-TX.PB35.00.HH,2022-11-16 21:32:52.010000,0.89,P,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:51.730000,2022-11-16 21:33:04.230000,0.61,29.1,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HHZ__20221116T213000Z__20221116T213459Z.mseed
20221116.213253.00-P-TX.PB28.00.HH,2022-11-16 21:32:53.000000,0.92,P,TX,PB28,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:52.860000,2022-11-16 21:33:02.590000,0.89,35.5,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213254.00-P-TX.PB37.00.HH,2022-11-16 21:32:54.000000,0.78,P,TX,PB37,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:52.900000,2022-11-16 21:33:03.700000,0.78,21.2,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213254.00-P-TX.PB29.00.HH,2022-11-16 21:32:54.000000,0.85,P,TX,PB29,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:52.930000,2022-11-16 21:33:07.130000,0.62,20.7,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213256.39-S-TX.PB36.00.HH,2022-11-16 21:32:56.390000,0.12,S,TX,PB36,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:51.850000,2022-11-16 21:33:00.690000,0.76,3.2,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213256.92-S-TX.PB35.00.HH,2022-11-16 21:32:56.920000,0.29,S,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:51.860000,2022-11-16 21:33:00.100000,0.8,0.9,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed
20221116.213257.28-S-TX.PB38.00.HH,2022-11-16 21:32:57.280000,0.25,S,TX,PB38,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:51.780000,2022-11-16 21:33:00.690000,0.85,5.5,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213257.32-S-TX.PB35.00.HH,2022-11-16 21:32:57.320000,0.16,S,TX,PB35,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:51.730000,2022-11-16 21:33:04.230000,0.61,1.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HHZ__20221116T213000Z__20221116T213459Z.mseed
20221116.213259.36-S-TX.PB28.00.HH,2022-11-16 21:32:59.360000,0.42,S,TX,PB28,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:52.860000,2022-11-16 21:33:02.590000,0.89,6.9,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213259.94-S-TX.PB37.00.HH,2022-11-16 21:32:59.940000,0.38,S,TX,PB37,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:52.900000,2022-11-16 21:33:03.700000,0.78,3.1,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213300.10-S-TX.PB29.00.HH,2022-11-16 21:33:00.100000,0.37,S,TX,PB29,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:52.930000,2022-11-16 21:33:07.130000,0.62,3.3,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed
20221116.213300.66-P-TX.PB26.00.HH,2022-11-16 21:33:00.663000,0.02,P,TX,PB26,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:56.833000,2022-11-16 21:33:05.993000,0.13,31.9,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB26/TX.PB26.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213302.54-S-TX.PB40.00.HH,2022-11-16 21:33:02.540000,0.01,S,TX,PB40,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:58.950000,2022-11-16 21:33:05.990000,0.04,8.6,31.6419935,-103.9339588,935.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB40/TX.PB40.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213302.54-S-TX.PB26.00.HH,2022-11-16 21:33:02.543000,0.02,S,TX,PB26,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:56.833000,2022-11-16 21:33:05.993000,0.13,10.9,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB26/TX.PB26.00.HHZ__20221116T213000Z__20221116T213500Z.mseed
20221116.213303.95-P-TX.PB24.00.HH,2022-11-16 21:33:03.955000,0.08,P,TX,PB24,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:33:02.845000,2022-11-16 21:33:05.995000,0.18,22.1,31.61979,-104.01776,997.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB24/TX.PB24.00.HHE__20221116T213000Z__20221116T213459Z.mseed
20221116.213304.17-P-TX.PB23.00.HH,2022-11-16 21:33:04.179000,0.11,P,TX,PB23,00,HH,EQTransformer,2024-09-11 15:18:47.041000,2022-11-16 21:32:58.829000,2022-11-16 21:33:05.989000,0.2,33.1,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB23/TX.PB23.00.HHN__20221116T212959Z__20221116T213459Z.mseed
20221116.213305.16-S-TX.PB24.00.HH,2022-11-16 21:33:05.165000,0.13,S,TX,PB24,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:33:02.845000,2022-11-16 21:33:05.995000,0.18,13.2,31.61979,-104.01776,997.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB24/TX.PB24.00.HHE__20221116T213000Z__20221116T213459Z.mseed
20221116.213305.64-S-TX.PB23.00.HH,2022-11-16 21:33:05.649000,0.17,S,TX,PB23,00,HH,EQTransformer,2024-09-11 15:18:47.045606,2022-11-16 21:32:58.829000,2022-11-16 21:33:05.989000,0.2,16.1,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB23/TX.PB23.00.HHN__20221116T212959Z__20221116T213459Z.mseed
