Latitude,Longitude,Elevation
32.05633652910116,-103.78863780464192,4.8786287
32.05673582591442,-103.77808130999809,4.8914304
32.05713424792626,-103.76752460640543,4.904232
32.0575317950768,-103.75696769431853,4.9170337
32.05792846730631,-103.74641057419201,4.9292254
32.058324264555196,-103.73585324648054,4.941113
32.058719186764,-103.72529571163886,4.95239
32.05911323387334,-103.71473797012173,4.963668
32.05950640582405,-103.70418002238404,4.974336
32.05989870255703,-103.69362186888064,4.9846992
32.0602901240133,-103.6830635100665,4.9947577
32.06068067013407,-103.67250494639666,5.004816
32.06107034086063,-103.66194617832613,5.0145698
32.0614591361344,-103.65138720631006,5.0240183
32.06184705589698,-103.64082803080363,5.0331626
32.06223410009002,-103.63026865226205,5.0423064
32.06262026865538,-103.61970907114059,5.0511456
32.063005561534986,-103.6091492878946,5.0599847
