Longitude,Latitude,Elevation
-104.58356713426853,31.834669610854544,2.2788720368685844
-104.5815631262525,31.834757843562333,2.284621485591745
-104.57955911823647,31.834846076270125,2.2903709343149075
-104.57755511022044,31.834934201225558,2.29619545124073
-104.5755511022044,31.835022267377944,2.302060934685434
-104.57354709418837,31.835110333530334,2.3079264181301093
-104.57154308617234,31.83519839968272,2.3137919015747763
-104.56953907815631,31.835286465835107,2.319657385019441
-104.56753507014028,31.835374465620898,2.3264946660491734
-104.56553106212425,31.835462365216113,2.334799024882714
-104.56352705410822,31.835550264811328,2.3431033837162545
-104.56152304609218,31.835638164406543,2.351407742549852
-104.55951903807615,31.835726064001758,2.3597121013833924
-104.55751503006012,31.835813938637074,2.368173082401934
-104.55551102204409,31.835901671673355,2.3775225906165756
-104.55350701402806,31.835989404709636,2.3868720988312155
