n_event,n_origin,event_id,event_time,latitude,latitude_uncertainty,longitude,longitude_uncertainty,depth,depth_uncertainty,rms,region,method,earth_model,event_type,magnitude,magnitude_type,n_P_phases,n_S_phases,preferred_origin
70,5,ESG2024vwuj,2024-11-07 07:31:46.509999,4.9175,1.5556349186104046,-75.37816666666667,1.5556349186104046,10720.0,1000.0,0.09,Colombia,Hypo71,RSNC,earthquake,0.6,MLv,5,5,False
67,0,ESG2024vydy,2024-11-08 01:30:13.759987,4.935175388929339,1.4305546939153575,-75.3383607323956,1.2499817285149122,4075.892857142858,2623.014016515647,0.239002873510457,Colombia,NonLinLoc,Nereidas,earthquake,0.62,ML,5,5,True
67,1,ESG2024vydy,2024-11-08 01:30:14.310000,4.930166666666667,0.6363961030678927,-75.34116666666667,0.6363961030678927,3740.0,300.0,0.08,Colombia,Hypo71,RSNC,earthquake,0.62,ML,5,5,False
66,0,ESG2024vyfw,2024-11-08 02:29:02.928327,4.917731674899479,1.3731504130848375,-75.35117023136932,1.3073729398165375,4674.107142857142,1769.5083136465378,0.08699443523149997,Colombia,NonLinLoc,Nereidas,earthquake,0.6,ML,4,4,True
66,1,ESG2024vyfw,2024-11-08 02:29:02.990000,4.926333333333333,0.7071067811865475,-75.3575,0.7071067811865475,6290.0,900.0,0.04,Colombia,Hypo71,RSNC,earthquake,0.6,ML,4,4,False
63,0,ESG2024vyrf,2024-11-08 08:12:39.649533,4.924273067660677,1.4447015209462413,-75.35245050142237,1.477002494520805,4973.214285714285,1763.536703737263,0.08704913370379898,Colombia,NonLinLoc,Nereidas,earthquake,0.42,ML,5,5,True
63,1,ESG2024vyrf,2024-11-08 08:12:39.539999,4.9385,0.7778174593052023,-75.33733333333333,0.7778174593052023,4230.0,3000.0,0.09,Colombia,Hypo71,RSNC,earthquake,0.42,ML,5,5,False
60,0,ESG2024vzdf,2024-11-08 14:16:57.436109,4.923061698630826,1.446310932106034,-75.35458524164102,1.8946206558149172,5272.321428571428,2425.467370931067,0.08320671797131865,Colombia,NonLinLoc,Nereidas,earthquake,1.01,ML,6,6,True
60,1,ESG2024vzdf,2024-11-08 14:16:57.340000,4.938833333333333,0.7071067811865475,-75.34366666666666,0.7071067811865475,5240.0,1400.0,0.08,Colombia,Hypo71,RSNC,earthquake,1.01,ML,6,6,False
57,0,ESG2024waeg,2024-11-09 03:55:46.880127,4.853892527026312,1.157473843762194,-75.34711986042703,1.2647065472165793,1832.5892857142853,1637.9173194284485,0.06825363990831584,Colombia,NonLinLoc,Nereidas,earthquake,0.68,ML,9,5,True
