ev_id,network_code,station_code,location_code,channel_code,phase_hint,time,time_lower_error,time_upper_error,author,filter_id,method_id,polarity,evaluation_mode,evaluation_status,time_correction,azimuth,distance,takeoff_angle,time_residual,time_weight,used
texnet2024hstr,TX,PB31,00,HHZ,P,2024-04-19 21:08:34.373710,0.1,0.1,Fernando,,,positive,manual,,0.0,67.37538001728792,0.15447460303186852,101.9,0.18366598633703912,1.0049347055968136,True
texnet2024hstr,TX,PB24,00,HHZ,P,2024-04-19 21:08:34.456535,0.1,0.1,Fernando,,,,manual,,0.0,109.18901794505439,0.1619986081851589,101.0,0.10664936954472459,1.228575036544537,True
texnet2024hstr,TX,PB24,00,HHN,S,2024-04-19 21:08:37.062766,0.2,0.2,Fernando,,,,manual,,0.0,109.18901794505439,0.1619986081851589,101.0,-0.1979902652537957,1.067206791220961,True
texnet2024hstr,4O,WB03,00,HHN,S,2024-04-19 21:08:38.454983,0.2,0.2,Fernando,,,,manual,,0.0,107.805369541548,0.2044615494049749,97.3,-0.18634734581093682,1.0754186779991446,True
texnet2024hstr,4O,WB03,00,HHZ,P,2024-04-19 21:08:35.230608,0.2,0.2,Fernando,,,,manual,,0.0,107.805369541548,0.2044615494049749,97.3,0.09189464920782253,1.0803811207888108,True
texnet2024hstr,4O,CV01,,HHZ,P,2024-04-19 21:08:35.131075,0.1,0.1,Fernando,,,positive,manual,,0.0,27.719463894867857,0.2009445167356348,97.5,0.06044774778134432,1.3139803942329527,True
texnet2024hstr,4O,CV01,,HHN,S,2024-04-19 21:08:38.096498,0.2,0.2,Fernando,,,,manual,,0.0,27.719463894867857,0.2009445167356348,97.5,-0.4255742670681322,0.7208260506891099,True
texnet2024hstr,TX,PB57,00,CHN,S,2024-04-19 21:08:38.855321,0.2,0.2,Fernando,,,,manual,,0.0,64.13273958742921,0.22037019917922,96.4,-0.2756391918094412,0.9572694158949583,True
texnet2024hstr,TX,PB57,00,CHZ,P,2024-04-19 21:08:35.547413,0.1,0.1,Fernando,,,negative,manual,,0.0,64.13273958742921,0.22037019917922,96.4,0.1288834699729895,1.1733341567715432,True
texnet2024hstr,4O,WB02,00,HHZ,P,2024-04-19 21:08:35.384272,0.2,0.2,Fernando,,,,manual,,0.0,73.66867106959121,0.22456455461279773,96.3,-0.11571239639136088,1.1527720855425305,True
texnet2024hstr,4O,WB02,00,HHN,S,2024-04-19 21:08:38.976193,0.2,0.2,Fernando,,,,manual,,0.0,73.66867106959121,0.22456455461279773,96.3,-0.2972879016039798,0.9247242757250262,True
texnet2024hstr,TX,PB58,00,CHN,S,2024-04-19 21:08:39.041444,0.2,0.2,Fernando,,,,manual,,0.0,83.28991775980437,0.22738391476783176,96.1,-0.3093854726837151,0.9061494818168299,True
texnet2024hstr,TX,PB58,00,CHZ,P,2024-04-19 21:08:35.650003,0.2,0.2,Fernando,,,,manual,,0.0,83.28991775980437,0.22738391476783176,96.1,0.10586294694329723,1.0592832364211697,True
texnet2024hstr,4O,CT01,,HHZ,P,2024-04-19 21:08:35.718038,0.1,0.1,Fernando,,,,manual,,0.0,11.38310808310458,0.2353107113102297,95.8,0.002754592500592068,1.3590284900825218,True
texnet2024hstr,4O,CT01,,HHE,S,2024-04-19 21:08:39.627384,0.2,0.2,Fernando,,,,manual,,0.0,11.38310808310458,0.2353107113102297,95.8,-0.02293666778398773,1.1471987760138427,True
texnet2024hstr,4O,WB04,00,HHE,S,2024-04-19 21:08:39.420035,0.2,0.2,Fernando,,,,manual,,0.0,124.206603782469,0.2541331456111131,95.2,-0.8340042316706988,0.2158612203569319,True
texnet2024hstr,4O,WB04,00,HHZ,P,2024-04-19 21:08:36.062007,0.2,0.2,Fernando,,,,manual,,0.0,124.206603782469,0.2541331456111131,95.2,0.0017598604451656286,1.163822680592549,True
texnet2024hstr,TX,PB55,00,CHZ,P,2024-04-19 21:08:36.182641,0.2,0.2,Fernando,,,,manual,,0.0,59.65340250680492,0.25671460201603624,95.1,0.08535056155743082,1.0864267943676966,True
texnet2024hstr,TX,PB55,00,CHN,S,2024-04-19 21:08:39.941627,0.2,0.2,Fernando,,,,manual,,0.0,59.65340250680492,0.25671460201603624,95.1,-0.3771733731204794,0.799306020348524,True
texnet2024hstr,TX,PB37,00,HH1,S,2024-04-19 21:08:40.869438,0.2,0.2,Fernando,,,,manual,,0.0,279.75476872356273,0.2855867301096163,94.4,-0.5368360545437305,0.5561232161485754,True
texnet2024hstr,TX,PB43,00,HH1,S,2024-04-19 21:08:40.904925,0.2,0.2,Fernando,,,,manual,,0.0,88.6727329194349,0.2835800313364827,94.4,-0.2880479238981639,0.934818501503548,True
texnet2024hstr,TX,PB43,00,HHZ,P,2024-04-19 21:08:36.176957,0.2,0.2,Fernando,,,,manual,,0.0,88.6727329194349,0.2835800313364827,94.4,-0.419855882485475,0.7282819153965843,True
texnet2024hstr,4O,CT02,,HHZ,P,2024-04-19 21:08:36.686265,0.2,0.2,Fernando,,,,manual,,0.0,12.949994907458345,0.2920729292773117,94.3,-0.08271421218680164,1.1640143320714726,True
texnet2024hstr,TX,PB11,00,HHZ,P,2024-04-19 21:08:36.749041,0.1,0.1,Fernando,,,positive,manual,,0.0,28.11107090359694,0.2980211965858404,94.1,-0.12286684427386163,1.2558574876455249,True
texnet2024hstr,TX,PB11,00,HH2,S,2024-04-19 21:08:41.109465,0.2,0.2,Fernando,,,,manual,,0.0,28.11107090359694,0.2980211965858404,94.1,-0.5650127443405815,0.5171301444721528,True
texnet2024hstr,TX,PB56,00,CHN,S,2024-04-19 21:08:41.489250,0.2,0.2,Fernando,,,,manual,,0.0,65.02879814035761,0.3079844569526535,93.9,-0.4929271468701852,0.6215887582430861,True
texnet2024hstr,TX,PB56,00,CHZ,P,2024-04-19 21:08:37.178946,0.1,0.1,Fernando,,,negative,manual,,0.0,65.02879814035761,0.3079844569526535,93.9,0.13120398891027474,1.1556422072688355,True
