ev_id,origin_time,eq_latitude,eq_longitude,magnitude,v_ij
texnet2022friu,2022-03-22 15:26:20.300999,31.59046,-104.21817,2.59,1.577586938041298
texnet2022frzt,2022-03-22 23:59:31.885999,31.66951,-104.26726,1.93,1.7780300634753488
texnet2022ftqf,2022-03-23 21:26:47.823000,31.61,-104.2466,2.23,1.7218585709103262
texnet2022fuvj,2022-03-24 13:12:09.724999,31.65682,-104.3147,2.77,1.7365626304801671
texnet2022fwsp,2022-03-25 14:03:17.777000,31.64965,-104.23202,1.87,1.7055160217095426
texnet2022fwtf,2022-03-25 14:22:49.828000,31.64944,-104.23219,2.22,1.706616097067074
texnet2022fxno,2022-03-26 00:38:15.390000,31.66156,-104.32642,2.14,1.740376609064741
texnet2022fxrg,2022-03-26 02:31:25.599000,31.56669,-104.17035,2.1,1.5370908678462638
texnet2022fzdz,2022-03-26 22:04:57.993999,31.65476,-104.31989,2.16,1.836893018093443
texnet2022fzgl,2022-03-26 23:19:56.270000,31.65581,-104.31915,2.4,1.8571646264032085
texnet2022fzos,2022-03-27 03:29:47.598999,31.58987,-104.21103,2.2,1.2834420349307076
texnet2022gahf,2022-03-27 12:51:07.889999,31.61684,-104.11278,2.68,1.6111111798667102
texnet2022garh,2022-03-27 17:56:31.283000,31.65026,-104.23618,2.02,1.7869112941113898
texnet2022gatl,2022-03-27 19:00:39.118999,31.65003,-104.2366,1.85,2.258816599124195
texnet2022gauh,2022-03-27 19:28:39.326000,31.61447,-104.11462,2.41,1.5833940861238813
texnet2022gbei,2022-03-28 00:31:52.299999,31.58724,-104.20449,1.97,1.6773907949412192
texnet2022gcbe,2022-03-28 12:04:16.527000,31.64715,-104.22621,2.0,1.5107889237199583
texnet2022gcjr,2022-03-28 16:22:50.651000,31.64697,-104.22506,3.16,1.6942703658867482
texnet2022gcmd,2022-03-28 17:37:22.417999,31.64716,-104.2241,2.92,1.7932961005445096
texnet2022gcmz,2022-03-28 18:02:05.628000,31.64825,-104.22435,3.38,1.4853813734748573
texnet2022gcno,2022-03-28 18:20:45.777000,31.64858,-104.22905,2.05,1.6226427114544326
texnet2022gdfd,2022-03-29 03:13:06.934000,31.61946,-104.13201,2.24,1.5528654541284572
texnet2022gdhm,2022-03-29 04:24:09.598000,31.66433,-104.24292,2.34,1.773596773721675
texnet2022gdmt,2022-03-29 07:07:40.357999,31.64668,-104.22083,2.16,1.477952467771896
texnet2022ghvi,2022-03-31 15:56:48.493999,31.6504,-104.28151,2.5,1.6853964872830594
texnet2022gikf,2022-03-31 23:28:15.603999,31.6505,-104.28097,2.01,1.995184724593127
texnet2022gllh,2022-04-02 15:28:16.629999,31.71763,-104.28989,1.99,2.289228969452435
texnet2022gpyj,2022-04-05 02:32:40.445000,31.64164,-104.21502,2.35,1.6148586039744721
texnet2022gqww,2022-04-05 14:56:34.531999,31.65929,-104.28757,2.1,1.686187514538154
texnet2022gsdu,2022-04-06 07:35:03.120000,31.64753,-104.2271,2.42,1.6552571117733181
texnet2022gshk,2022-04-06 09:24:18.925000,31.63988,-104.22859,2.33,1.577932676463197
texnet2022gurp,2022-04-07 16:49:26.352000,31.71888,-104.28909,2.67,1.44080101896093
texnet2022gvsa,2022-04-08 06:13:08.397999,31.62556,-104.20721,2.13,1.826652431156908
texnet2022gxty,2022-04-09 09:25:04.964000,31.61269,-104.1029,2.03,1.4449557710827594
texnet2022gzvv,2022-04-10 12:38:56.432000,31.61595,-104.24221,2.13,1.7805476438904713
texnet2022hccz,2022-04-11 18:31:52.267000,31.60482,-104.22673,2.62,1.710823046890856
texnet2022hccx,2022-04-11 18:31:59.500000,31.604,-104.22617,3.04,1.5830950452562629
texnet2022hcxp,2022-04-12 04:56:16.728999,31.62554,-104.37039,2.4,1.6451050627144008
texnet2022hdcp,2022-04-12 07:28:21.368999,31.61245,-104.26649,1.99,1.8230809804910535
texnet2022heag,2022-04-12 19:25:02.012999,31.64214,-104.20644,2.07,1.6337936046511627
texnet2022hemb,2022-04-13 01:23:29.753000,31.61854,-104.11256,1.83,1.4980283748212324
texnet2022hest,2022-04-13 04:46:20.490999,31.65016,-104.2352,1.99,1.4222279502454405
texnet2022hfuq,2022-04-13 18:51:13.680999,31.59222,-104.24552,2.19,1.6227916948992571
texnet2022hfvm,2022-04-13 19:17:07.064000,31.59175,-104.24591,1.96,1.4541195247840804
texnet2022hgah,2022-04-13 21:43:16.568000,31.59216,-104.24681,2.0,1.6754591265857068
texnet2022hgem,2022-04-13 23:48:43.756999,31.60976,-104.23563,1.84,1.7275957117559562
texnet2022hgpn,2022-04-14 05:24:47.908000,31.6296,-104.20964,1.97,1.7068611611573838
texnet2022hhnf,2022-04-14 17:20:55.704000,31.59308,-104.24803,2.73,1.949069230705598
texnet2022hkbc,2022-04-16 02:39:51.383000,31.58971,-104.24387,2.79,1.900356768119922
texnet2022hmdk,2022-04-17 06:06:28.387000,31.6886,-104.3016,2.08,1.4297478559176673
texnet2022hony,2022-04-18 13:41:30.253000,31.65682,-104.29816,1.99,1.699424956383964
texnet2022hppl,2022-04-19 03:35:18.888999,31.61272,-104.26994,2.12,2.0281375002612196
texnet2022hpvr,2022-04-19 06:44:30.146999,31.62531,-104.20003,2.26,1.6635811797894313
texnet2022hpvu,2022-04-19 06:47:58.542999,31.6504,-104.2378,2.27,1.4803043018648678
texnet2022hrfm,2022-04-20 00:50:17.765999,31.56498,-104.16023,2.15,1.70245868198391
texnet2022hrid,2022-04-20 02:10:42.537999,31.62589,-104.20026,2.0,1.576712031678751
texnet2022hrud,2022-04-20 08:14:19.007000,31.59146,-104.24357,2.2,1.5359728140676412
texnet2022hugk,2022-04-21 16:42:37.301999,31.65403,-104.29424,2.87,1.6696657751535462
texnet2022hvwu,2022-04-22 14:07:23.588000,31.65501,-104.29386,2.84,1.782100969428571
texnet2022hwiq,2022-04-22 20:05:55.012000,31.64642,-104.2125,2.21,1.78683633906146
texnet2022hwkt,2022-04-22 21:10:53.323000,31.69011,-104.30423,2.67,1.788212937656687
texnet2022hwly,2022-04-22 21:46:45.704000,31.68895,-104.30373,2.0,1.6611641884711468
texnet2022hwob,2022-04-22 22:50:40.485999,31.68921,-104.30339,2.34,1.7691039748330253
texnet2022hwui,2022-04-23 02:01:33.529000,31.68914,-104.30129,1.93,1.642159064290407
texnet2022hwum,2022-04-23 02:04:59.601999,31.68898,-104.3013,2.06,1.6134040552088953
texnet2022hwxq,2022-04-23 03:41:34.710000,31.68717,-104.27845,2.07,1.674627385873455
texnet2022hxhz,2022-04-23 08:54:21.137000,31.6237,-104.21715,2.55,1.602080098765329
texnet2022hxpy,2022-04-23 12:55:57.167000,31.6527,-104.30721,3.06,1.762648595975341
texnet2022hxqa,2022-04-23 12:58:08.862000,31.65318,-104.31051,2.38,1.6950862736980175
texnet2022hxsy,2022-04-23 14:27:03.934000,31.59628,-104.21043,2.59,1.7264635139928977
texnet2022hxxl,2022-04-23 16:43:04.828000,31.66291,-104.30679,2.51,1.8585640304048545
texnet2022hybf,2022-04-23 18:37:43.079999,31.64076,-104.29557,2.22,1.7351326952525596
texnet2022hyip,2022-04-23 22:22:06.485000,31.62543,-104.21169,2.6,1.5762781826954468
texnet2022hzio,2022-04-24 11:28:09.329000,31.59551,-104.20906,2.16,1.746925626802043
texnet2022hzxp,2022-04-24 19:04:16.077000,31.59627,-104.2313,2.69,1.8163294319364078
texnet2022iafe,2022-04-24 22:54:31.193000,31.60513,-104.21451,2.33,1.6921314730936299
texnet2022idhc,2022-04-26 15:16:55.704000,31.61957,-104.13184,2.41,1.4828051770694313
texnet2022iemj,2022-04-27 07:04:22.442000,31.64784,-104.23256,2.07,1.6016943405866098
texnet2022ihmz,2022-04-28 22:48:08.976000,31.59512,-104.22154,2.89,1.889432131733923
texnet2022iizf,2022-04-29 18:07:01.702000,31.58586,-104.23438,2.26,1.71697562872699
texnet2022imey,2022-05-01 12:24:54.609999,31.61752,-104.11572,3.52,1.649838823940153
texnet2022imfo,2022-05-01 12:46:38.143999,31.61831,-104.11468,2.2,3.427410611025443
texnet2022iovw,2022-05-02 23:13:52.286000,31.61758,-104.11275,2.06,1.5726429404673699
texnet2022irro,2022-05-04 12:27:54.259999,31.61585,-104.10905,2.69,1.5897444082521774
texnet2022irvp,2022-05-04 14:30:53.783999,31.56254,-104.14157,2.14,1.638464205123596
texnet2022itke,2022-05-05 11:00:38.759999,31.55363,-104.14674,2.04,1.5331724979772114
texnet2022ixuc,2022-05-07 20:33:09.271000,31.59202,-104.2399,2.0,1.6038202656969853
texnet2022iymd,2022-05-08 05:40:33.095999,31.65216,-104.29888,2.06,1.7052907407455884
texnet2022iyyf,2022-05-08 11:47:49.183999,31.65347,-104.30118,2.01,1.6726904697105534
texnet2022jbqh,2022-05-09 23:11:46.362999,31.718,-104.29046,2.16,1.2452671578929309
texnet2022jcfb,2022-05-10 06:38:07.474000,31.6198,-104.1322,2.29,1.3599998175038865
texnet2022jcxd,2022-05-10 15:46:21.649999,31.63967,-104.2256,2.01,1.7035611755411046
texnet2022jdtm,2022-05-11 03:04:18.597000,31.61927,-104.1174,2.04,1.760002381046867
texnet2022jgbr,2022-05-12 09:29:23.425999,31.69421,-104.25562,2.32,1.5717491946202888
texnet2022jhvb,2022-05-13 08:24:26.141999,31.69082,-104.28736,2.0,1.9166701537380006
texnet2022jiwe,2022-05-13 22:07:08.048999,31.68926,-104.29606,2.31,1.7748439050997213
texnet2022jmyr,2022-05-16 03:54:04.113999,31.64707,-104.22087,2.69,1.6106224258420854
texnet2022jnyi,2022-05-16 16:55:21.981999,31.61313,-104.27259,2.02,1.4001291269258989
texnet2022jqrg,2022-05-18 04:42:32.908999,31.71828,-104.29517,1.9,0.4766590966439577
texnet2022julf,2022-05-20 06:12:18.879999,31.6872,-104.29776,2.23,1.50717662574253
texnet2022jund,2022-05-20 07:09:35.122999,31.68793,-104.29926,2.09,1.658599977977275
texnet2022junj,2022-05-20 07:18:25.934999,31.68824,-104.28718,1.93,1.7803279297877423
texnet2022juwo,2022-05-20 11:59:53.286999,31.6884,-104.28791,2.21,1.226455113293838
texnet2022jzwn,2022-05-23 05:35:32.093000,31.56402,-104.11497,2.3,1.1944410965679357
texnet2022kchb,2022-05-24 13:11:49.335000,31.61998,-104.34223,2.06,1.801617980352387
texnet2022kdmz,2022-05-25 05:18:34.223999,31.62738,-104.37028,2.05,1.8590844719751096
texnet2022kenh,2022-05-25 18:37:11.208999,31.61306,-104.32574,1.66,1.6849394979712475
texnet2022kenq,2022-05-25 18:47:53.313000,31.62195,-104.13316,1.94,2.8292056904434286
texnet2022kfpt,2022-05-26 08:59:59.874000,31.56623,-104.16474,2.6,1.7619059723256627
texnet2022kftg,2022-05-26 10:45:27.327000,31.56538,-104.16438,2.14,1.629258645497567
texnet2022kgod,2022-05-26 21:19:12.016999,31.61962,-104.12687,2.14,1.665687296416938
texnet2022khfz,2022-05-27 06:16:27.114999,31.56614,-104.16644,2.82,1.1250522135353864
texnet2022khxs,2022-05-27 15:17:54.259000,31.61629,-104.10702,2.26,1.9103238056726428
texnet2022knuj,2022-05-30 20:24:43.954999,31.60198,-104.13337,2.32,1.7127978596992048
texnet2022kqap,2022-06-01 01:50:10.561999,31.69228,-104.30125,2.08,1.7933891493735823
texnet2022kuxv,2022-06-03 18:07:26.687999,31.66077,-104.32458,2.23,1.8712705784682322
texnet2022kwvn,2022-06-04 19:13:23.791000,31.65318,-104.30213,2.62,1.8749992778198248
texnet2022kwyy,2022-06-04 20:56:56.929000,31.66029,-104.32767,2.71,1.7641509822367785
texnet2022kzjy,2022-06-06 04:46:44.439999,31.71886,-104.3054,2.06,1.4404337121373865
texnet2022leuq,2022-06-09 03:52:22.943000,31.65134,-104.29309,2.16,1.74879567092178
texnet2022lgpv,2022-06-10 03:42:06.160999,31.5578,-104.14322,2.39,1.532326374967391
texnet2022lkrv,2022-06-12 09:15:46.840000,31.60122,-104.2154,2.32,1.83608143602177
texnet2022llyc,2022-06-13 01:33:23.359999,31.63289,-104.36924,2.32,1.7385183288862613
texnet2022lqqn,2022-06-15 15:26:41.904000,31.64966,-104.23313,1.94,1.8176863740135198
texnet2022lqtj,2022-06-15 16:51:44.770000,31.61647,-104.12511,2.06,1.6518877052011085
texnet2022lqwa,2022-06-15 18:12:50.012999,31.65621,-104.31729,2.18,1.591786001985126
texnet2022lstz,2022-06-16 19:26:07.585000,31.64435,-104.22128,2.09,1.671858697272321
texnet2022lxgx,2022-06-19 06:30:42.270000,31.62313,-104.28527,2.09,1.789235536135888
texnet2022lxjc,2022-06-19 07:36:01.804000,31.62277,-104.28333,3.3,1.8380639564105274
texnet2022lxjx,2022-06-19 08:01:04.612000,31.62325,-104.28337,2.18,1.860690172543136
texnet2022lxkp,2022-06-19 08:22:58.182999,31.62395,-104.28631,2.21,1.9639222663368616
texnet2022lyrc,2022-06-20 00:47:55.319000,31.56654,-104.16673,2.68,1.7074465646022852
texnet2022lyrf,2022-06-20 00:50:52.777999,31.56589,-104.16569,2.14,1.833873780690363
texnet2022melg,2022-06-23 04:39:17.707999,31.59439,-104.20198,2.37,1.5504417101672883
texnet2022mfpx,2022-06-23 20:08:40.128999,31.59346,-104.20284,2.38,1.7521710898091303
texnet2022mgjw,2022-06-24 06:14:18.440000,31.59473,-104.20738,2.27,1.6652759362457534
texnet2022mpbe,2022-06-29 00:04:00.466000,31.56181,-104.11618,2.02,1.5007795896090166
texnet2022mszf,2022-07-01 03:36:55.207999,31.68588,-104.29633,2.33,1.4460715378007751
texnet2022mtec,2022-07-01 06:04:49.154000,31.72343,-104.29976,2.85,1.2760560105268062
texnet2022munt,2022-07-02 00:04:03.108000,31.6515,-104.2942,3.16,2.0054075261121214
texnet2022muqs,2022-07-02 01:35:58.872999,31.68736,-104.29957,2.03,1.44461888125263
texnet2022mvqb,2022-07-02 14:24:11.076000,31.59515,-104.36426,2.58,1.6891194849154383
texnet2022mvvq,2022-07-02 17:12:59.490999,31.71597,-104.2654,2.27,1.6800135454619567
texnet2022mwke,2022-07-03 00:33:45.469000,31.62219,-104.12531,1.93,1.6665571268748496
texnet2022mwud,2022-07-03 05:35:57.060999,31.65389,-104.29693,2.26,1.9508481542208704
texnet2022mxbz,2022-07-03 09:33:26.361000,31.68613,-104.29728,2.2,2.1585686173780516
texnet2022mxhl,2022-07-03 12:19:21.070000,31.68669,-104.29743,2.42,1.728988786555652
texnet2022myuo,2022-07-04 08:04:49.576999,31.71889,-104.30317,2.28,1.6651012738139532
texnet2022nalg,2022-07-05 05:38:52.067999,31.65296,-104.29712,2.08,1.8134450028815894
texnet2022ncae,2022-07-06 02:19:35.878999,31.68484,-104.29285,1.98,1.512356120732016
texnet2022ncnn,2022-07-06 09:04:05.751999,31.65127,-104.29921,2.31,1.6716420198798945
texnet2022ncon,2022-07-06 09:35:05.294999,31.59855,-104.22208,2.19,1.838016285276148
texnet2022ndpo,2022-07-06 23:14:20.876000,31.58863,-104.23644,2.41,4.189036427418602
texnet2022njye,2022-07-10 10:24:00.472000,31.70822,-104.16885,2.12,1.5737479683891216
texnet2022nkzg,2022-07-11 00:04:20.307999,31.64939,-104.23224,2.65,1.807222957909382
texnet2022nmvv,2022-07-12 00:37:32.549999,31.61966,-104.13163,2.53,1.4133097867908966
texnet2022ntsq,2022-07-15 18:58:03.619000,31.65158,-104.23441,2.14,1.8643090473589798
texnet2022nwlb,2022-07-17 06:33:03.297000,31.61656,-104.11047,2.0,1.943753114938255
texnet2022nwxj,2022-07-17 12:45:40.237999,31.66153,-104.332,2.01,1.688431624002798
texnet2022oanq,2022-07-19 12:22:19.460000,31.71699,-104.28511,1.96,2.3239526747396906
texnet2022oetl,2022-07-21 19:51:55.807000,31.65138,-104.29576,2.12,1.7304138182422797
texnet2022ofth,2022-07-22 08:56:04.577000,31.64504,-104.2998,2.37,1.7399193108596218
texnet2022oiaw,2022-07-23 15:02:17.032000,31.61513,-104.12331,2.33,1.952953858371332
texnet2022okmy,2022-07-24 23:23:52.237999,31.62397,-104.36704,2.16,1.7268680224410011
texnet2022oucc,2022-07-30 05:16:49.805999,31.68611,-104.29395,2.22,1.5714234627281989
texnet2022owhm,2022-07-31 10:16:56.631000,31.68516,-104.29187,2.05,1.5127890620310611
texnet2022pasd,2022-08-02 20:12:08.762999,31.6704,-104.26204,2.38,1.629088132904326
texnet2022pdtp,2022-08-04 12:20:32.762999,31.61653,-104.12104,2.2,1.6248017760862674
texnet2022pdvp,2022-08-04 13:21:18.036999,31.70721,-104.16713,2.24,1.5897829010295559
texnet2022pfce,2022-08-05 05:49:33.421999,31.71427,-104.26767,2.09,1.6792320356381933
texnet2022pgjl,2022-08-05 22:37:18.952000,31.56906,-104.17621,2.06,1.6211504683363769
texnet2022pkzw,2022-08-08 11:28:31.230000,31.619,-104.12967,2.38,1.59210468772704
texnet2022plvm,2022-08-08 22:22:48.320000,31.71853,-104.28696,2.11,3.153920329853031
texnet2022pmkm,2022-08-09 05:58:02.325000,31.62931,-104.37999,2.63,1.8904202231763172
texnet2022ptes,2022-08-12 23:00:42.289000,31.75237,-104.19077,1.93,1.6641801300621726
texnet2022puvp,2022-08-13 20:39:48.764000,31.60843,-104.24037,2.9,1.793459364745703
texnet2022pwkf,2022-08-14 17:11:36.186999,31.65223,-104.26796,2.35,1.6566654703710064
texnet2022pxtk,2022-08-15 10:58:29.629999,31.60877,-104.24002,2.28,1.7820254823401305
texnet2022pzpz,2022-08-16 11:30:37.286000,31.65367,-104.28421,1.95,1.8839083839769981
texnet2022pzqx,2022-08-16 11:58:55.304000,31.65367,-104.28435,2.24,1.8181806498459399
texnet2022qaft,2022-08-16 19:27:57.198000,31.62411,-104.11736,2.28,1.7365340445539523
texnet2022qecl,2022-08-18 22:21:37.106999,31.61476,-104.12014,2.07,1.7222228374184119
texnet2022qfls,2022-08-19 16:08:49.533999,31.65075,-104.24609,2.3,1.580645381738931
texnet2022qhvg,2022-08-20 23:15:40.463000,31.61135,-104.24366,2.14,1.845168967559239
