longitude,latitude,gap
-104.78329,31.7361,160.54
-104.78329,31.7461,160.02
-104.78329,31.7561,159.42
-104.78329,31.7661,158.70
-104.78329,31.7761,157.85
-104.78329,31.7861,156.82
-104.78329,31.7961,155.55
-104.78329,31.8061,153.99
-104.78329,31.8161,152.02
-104.78329,31.8261,149.47
-104.78329,31.8361,146.08
-104.78329,31.8461,141.44
-104.78329,31.8561,134.82
-104.78329,31.8661,125.03
-104.78329,31.8761,110.37
-104.78329,31.8861,100.98
-104.78329,31.8961,124.02
-104.78329,31.9061,143.35
-104.77329,31.3961,159.45
-104.77329,31.4061,159.63
-104.77329,31.4161,159.80
-104.77329,31.4261,159.95
-104.77329,31.4361,160.10
-104.77329,31.4461,160.23
-104.77329,31.4561,160.35
-104.77329,31.4661,160.46
-104.77329,31.4761,160.57
-104.77329,31.4861,160.66
-104.77329,31.4961,160.74
-104.77329,31.5061,160.81
-104.77329,31.5161,160.86
-104.77329,31.5261,160.91
-104.77329,31.5361,160.94
-104.77329,31.5461,160.96
-104.77329,31.5561,160.97
-104.77329,31.5661,160.96
-104.77329,31.5761,160.94
-104.77329,31.5861,160.90
-104.77329,31.5961,160.84
-104.77329,31.6061,160.77
-104.77329,31.6161,160.67
-104.77329,31.6261,160.56
-104.77329,31.6361,160.42
-104.77329,31.6461,160.26
-104.77329,31.6561,160.07
-104.77329,31.6661,159.84
-104.77329,31.6761,159.59
-104.77329,31.6861,159.29
-104.77329,31.6961,158.94
-104.77329,31.7061,158.55
-104.77329,31.7161,158.09
-104.77329,31.7261,157.57
-104.77329,31.7361,156.96
-104.77329,31.7461,156.26
-104.77329,31.7561,155.44
-104.77329,31.7661,154.47
-104.77329,31.7761,153.33
-104.77329,31.7861,151.97
-104.77329,31.7961,150.32
-104.77329,31.8061,148.31
-104.77329,31.8161,145.81
-104.77329,31.8261,142.64
-104.77329,31.8361,138.57
-104.77329,31.8461,133.19
-104.77329,31.8561,125.97
-104.77329,31.8661,116.20
-104.77329,31.8761,103.21
-104.77329,31.8861,103.17
-104.77329,31.8961,120.39
-104.77329,31.9061,135.93
-104.76329,31.3961,157.73
-104.76329,31.4061,157.89
-104.76329,31.4161,158.05
-104.76329,31.4261,158.19
-104.76329,31.4361,158.32
-104.76329,31.4461,158.44
-104.76329,31.4561,158.55
-104.76329,31.4661,158.64
-104.76329,31.4761,158.73
-104.76329,31.4861,158.80
-104.76329,31.4961,158.85
-104.76329,31.5061,158.90
-104.76329,31.5161,158.93
-104.76329,31.5261,158.95
-104.76329,31.5361,158.95
-104.76329,31.5461,158.94
-104.76329,31.5561,158.91
-104.76329,31.5661,158.87
-104.76329,31.5761,158.81
-104.76329,31.5861,158.73
-104.76329,31.5961,158.62
-104.76329,31.6061,158.50
-104.76329,31.6161,158.35
-104.76329,31.6261,158.18
-104.76329,31.6361,157.98
-104.76329,31.6461,157.75
-104.76329,31.6561,157.49
-104.76329,31.6661,157.18
-104.76329,31.6761,156.84
-104.76329,31.6861,156.44
-104.76329,31.6961,155.99
-104.76329,31.7061,155.48
-104.76329,31.7161,154.90
-104.76329,31.7261,154.23
-104.76329,31.7361,153.46
-104.76329,31.7461,152.58
-104.76329,31.7561,151.56
-104.76329,31.7661,150.37
-104.76329,31.7761,148.97
-104.76329,31.7861,147.32
-104.76329,31.7961,145.35
-104.76329,31.8061,142.97
-104.76329,31.8161,140.07
-104.76329,31.8261,136.48
-104.76329,31.8361,131.98
-104.76329,31.8461,126.27
-104.76329,31.8561,118.99
-104.76329,31.8661,109.78
-104.76329,31.8761,98.46
-104.76329,31.8861,104.43
-104.76329,31.8961,118.17
-104.76329,31.9061,131.02
-104.75329,31.3961,156.01
-104.75329,31.4061,156.17
-104.75329,31.4161,156.31
-104.75329,31.4261,156.44
-104.75329,31.4361,156.56
-104.75329,31.4461,156.66
-104.75329,31.4561,156.75
-104.75329,31.4661,156.83
-104.75329,31.4761,156.89
-104.75329,31.4861,156.95
-104.75329,31.4961,156.98
-104.75329,31.5061,157.00
-104.75329,31.5161,157.01
-104.75329,31.5261,157.00
-104.75329,31.5361,156.98
-104.75329,31.5461,156.93
-104.75329,31.5561,156.87
-104.75329,31.5661,156.79
-104.75329,31.5761,156.69
-104.75329,31.5861,156.57
-104.75329,31.5961,156.42
-104.75329,31.6061,156.25
-104.75329,31.6161,156.05
-104.75329,31.6261,155.82
-104.75329,31.6361,155.56
-104.75329,31.6461,155.27
-104.75329,31.6561,154.93
-104.75329,31.6661,154.55
-104.75329,31.6761,154.12
-104.75329,31.6861,153.63
-104.75329,31.6961,153.08
-104.75329,31.7061,152.46
-104.75329,31.7161,151.76
-104.75329,31.7261,150.96
-104.75329,31.7361,150.04
-104.75329,31.7461,149.00
-104.75329,31.7561,147.80
-104.75329,31.7661,146.41
-104.75329,31.7761,144.80
-104.75329,31.7861,142.91
-104.75329,31.7961,140.68
-104.75329,31.8061,138.02
-104.75329,31.8161,134.83
-104.75329,31.8261,130.97
-104.75329,31.8361,126.26
-104.75329,31.8461,120.49
-104.75329,31.8561,113.44
-104.75329,31.8661,104.95
-104.75329,31.8761,95.05
-104.75329,31.8861,105.24
-104.75329,31.8961,116.67
-104.75329,31.9061,127.57
-104.74329,31.3961,154.30
-104.74329,31.4061,154.45
-104.74329,31.4161,154.58
-104.74329,31.4261,154.70
-104.74329,31.4361,154.80
-104.74329,31.4461,154.89
-104.74329,31.4561,154.97
-104.74329,31.4661,155.03
-104.74329,31.4761,155.07
-104.74329,31.4861,155.10
-104.74329,31.4961,155.12
-104.74329,31.5061,155.12
-104.74329,31.5161,155.10
-104.74329,31.5261,155.06
-104.74329,31.5361,155.01
-104.74329,31.5461,154.94
-104.74329,31.5561,154.84
-104.74329,31.5661,154.73
-104.74329,31.5761,154.59
-104.74329,31.5861,154.43
-104.74329,31.5961,154.24
-104.74329,31.6061,154.02
-104.74329,31.6161,153.77
-104.74329,31.6261,153.49
-104.74329,31.6361,153.17
-104.74329,31.6461,152.81
-104.74329,31.6561,152.41
-104.74329,31.6661,151.95
-104.74329,31.6761,151.44
-104.74329,31.6861,150.87
-104.74329,31.6961,150.23
-104.74329,31.7061,149.51
-104.74329,31.7161,148.69
-104.74329,31.7261,147.77
-104.74329,31.7361,146.72
-104.74329,31.7461,145.54
-104.74329,31.7561,144.18
-104.74329,31.7661,142.62
-104.74329,31.7761,140.82
-104.74329,31.7861,138.74
-104.74329,31.7961,136.31
-104.74329,31.8061,133.45
-104.74329,31.8161,130.08
-104.74329,31.8261,126.07
-104.74329,31.8361,121.31
-104.74329,31.8461,115.64
-104.74329,31.8561,108.95
-104.74329,31.8661,101.19
-104.74329,31.8761,96.22
-104.74329,31.8861,105.78
-104.74329,31.8961,115.56
-104.74329,31.9061,125.01
-104.73329,31.3961,152.60
-104.73329,31.4061,152.74
-104.73329,31.4161,152.86
-104.73329,31.4261,152.97
-104.73329,31.4361,153.06
-104.73329,31.4461,153.13
-104.73329,31.4561,153.19
-104.73329,31.4661,153.24
-104.73329,31.4761,153.26
-104.73329,31.4861,153.28
-104.73329,31.4961,153.27
-104.73329,31.5061,153.25
-104.73329,31.5161,153.20
-104.73329,31.5261,153.14
-104.73329,31.5361,153.06
-104.73329,31.5461,152.96
-104.73329,31.5561,152.83
-104.73329,31.5661,152.68
-104.73329,31.5761,152.51
-104.73329,31.5861,152.31
-104.73329,31.5961,152.08
-104.73329,31.6061,151.81
-104.73329,31.6161,151.52
-104.73329,31.6261,151.18
-104.73329,31.6361,150.81
-104.73329,31.6461,150.39
-104.73329,31.6561,149.92
-104.73329,31.6661,149.40
-104.73329,31.6761,148.82
-104.73329,31.6861,148.16
-104.73329,31.6961,147.43
-104.73329,31.7061,146.62
-104.73329,31.7161,145.70
-104.73329,31.7261,144.67
-104.73329,31.7361,143.51
-104.73329,31.7461,142.19
-104.73329,31.7561,140.70
-104.73329,31.7661,139.00
-104.73329,31.7761,137.06
-104.73329,31.7861,134.83
-104.73329,31.7961,132.25
-104.73329,31.8061,129.26
-104.73329,31.8161,125.78
-104.73329,31.8261,121.73
-104.73329,31.8361,117.01
-104.73329,31.8461,111.54
-104.73329,31.8561,105.26
-104.73329,31.8661,98.17
-104.73329,31.8761,97.76
-104.73329,31.8861,106.17
-104.73329,31.8961,114.72
-104.73329,31.9061,123.04
-104.72329,31.3961,150.92
-104.72329,31.4061,151.04
-104.72329,31.4161,151.15
-104.72329,31.4261,151.25
-104.72329,31.4361,151.32
-104.72329,31.4461,151.38
-104.72329,31.4561,151.43
-104.72329,31.4661,151.46
-104.72329,31.4761,151.47
-104.72329,31.4861,151.46
-104.72329,31.4961,151.43
-104.72329,31.5061,151.39
-104.72329,31.5161,151.32
-104.72329,31.5261,151.23
-104.72329,31.5361,151.13
-104.72329,31.5461,150.99
-104.72329,31.5561,150.84
-104.72329,31.5661,150.66
-104.72329,31.5761,150.45
-104.72329,31.5861,150.21
-104.72329,31.5961,149.94
-104.72329,31.6061,149.63
-104.72329,31.6161,149.29
-104.72329,31.6261,148.91
-104.72329,31.6361,148.48
-104.72329,31.6461,148.01
-104.72329,31.6561,147.48
-104.72329,31.6661,146.89
-104.72329,31.6761,146.24
-104.72329,31.6861,145.51
-104.72329,31.6961,144.70
-104.72329,31.7061,143.80
-104.72329,31.7161,142.79
-104.72329,31.7261,141.66
-104.72329,31.7361,140.40
-104.72329,31.7461,138.98
-104.72329,31.7561,137.38
-104.72329,31.7661,135.56
-104.72329,31.7761,133.50
-104.72329,31.7861,131.16
-104.72329,31.7961,128.48
-104.72329,31.8061,125.42
-104.72329,31.8161,121.90
-104.72329,31.8261,117.88
-104.72329,31.8361,113.27
-104.72329,31.8461,108.04
-104.72329,31.8561,102.17
-104.72329,31.8661,95.67
-104.72329,31.8761,98.95
-104.72329,31.8861,106.45
-104.72329,31.8961,114.04
-104.72329,31.9061,121.48
-104.71329,31.3961,149.24
-104.71329,31.4061,149.36
-104.71329,31.4161,149.46
-104.71329,31.4261,149.54
-104.71329,31.4361,149.60
-104.71329,31.4461,149.65
-104.71329,31.4561,149.68
-104.71329,31.4661,149.69
-104.71329,31.4761,149.68
-104.71329,31.4861,149.66
-104.71329,31.4961,149.61
-104.71329,31.5061,149.54
-104.71329,31.5161,149.45
-104.71329,31.5261,149.34
-104.71329,31.5361,149.21
-104.71329,31.5461,149.05
-104.71329,31.5561,148.86
-104.71329,31.5661,148.65
-104.71329,31.5761,148.41
-104.71329,31.5861,148.13
-104.71329,31.5961,147.82
-104.71329,31.6061,147.48
-104.71329,31.6161,147.09
-104.71329,31.6261,146.66
-104.71329,31.6361,146.19
-104.71329,31.6461,145.66
-104.71329,31.6561,145.07
-104.71329,31.6661,144.43
-104.71329,31.6761,143.71
-104.71329,31.6861,142.92
-104.71329,31.6961,142.03
-104.71329,31.7061,141.06
-104.71329,31.7161,139.97
-104.71329,31.7261,138.76
-104.71329,31.7361,137.41
-104.71329,31.7461,135.90
-104.71329,31.7561,134.20
-104.71329,31.7661,132.30
-104.71329,31.7761,130.16
-104.71329,31.7861,127.74
-104.71329,31.7961,125.00
-104.71329,31.8061,121.91
-104.71329,31.8161,118.40
-104.71329,31.8261,114.44
-104.71329,31.8361,109.99
-104.71329,31.8461,105.02
-104.71329,31.8561,99.53
-104.71329,31.8661,93.56
-104.71329,31.8761,99.89
-104.71329,31.8861,106.65
-104.71329,31.8961,113.48
-104.71329,31.9061,120.19
-104.70329,31.3961,147.58
-104.70329,31.4061,147.68
-104.70329,31.4161,147.77
-104.70329,31.4261,147.84
-104.70329,31.4361,147.89
-104.70329,31.4461,147.93
-104.70329,31.4561,147.94
-104.70329,31.4661,147.94
-104.70329,31.4761,147.91
-104.70329,31.4861,147.87
-104.70329,31.4961,147.80
-104.70329,31.5061,147.71
-104.70329,31.5161,147.60
-104.70329,31.5261,147.47
-104.70329,31.5361,147.31
-104.70329,31.5461,147.12
-104.70329,31.5561,146.91
-104.70329,31.5661,146.67
-104.70329,31.5761,146.39
-104.70329,31.5861,146.08
-104.70329,31.5961,145.74
-104.70329,31.6061,145.35
-104.70329,31.6161,144.93
-104.70329,31.6261,144.45
-104.70329,31.6361,143.93
-104.70329,31.6461,143.35
-104.70329,31.6561,142.72
