pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20231207.040413.52-S-TX.PB23.00.HH,2023-12-07 04:04:13.521000,0.02,S,TX,PB23,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:11.971000,2023-12-07 04:04:14.291000,0.02,10.6,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB23/TX.PB23.00.HHE__20231207T040300Z__20231207T040800Z.mseed
20231207.040413.91-S-TX.PB36.00.HH,2023-12-07 04:04:13.910000,0.4,S,TX,PB36,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:11.510000,2023-12-07 04:04:14.580000,0.1,10.8,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB36/TX.PB36.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040414.55-S-TX.PB33.00.HH,2023-12-07 04:04:14.550000,0.77,S,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:12.490000,2023-12-07 04:04:15.530000,0.72,9.7,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040425.76-P-TX.PB26.00.HH,2023-12-07 04:04:25.763000,0.02,P,TX,PB26,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:04:24.583000,2023-12-07 04:04:29.483000,0.06,,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB26/TX.PB26.00.HHE__20231207T040300Z__20231207T040800Z.mseed
20231207.040426.15-P-TX.PB23.00.HH,2023-12-07 04:04:26.151000,0.01,P,TX,PB23,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:04:25.601000,2023-12-07 04:04:28.391000,0.04,,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB23/TX.PB23.00.HHE__20231207T040300Z__20231207T040800Z.mseed
20231207.040426.52-P-TX.PB33.00.HH,2023-12-07 04:04:26.520000,0.85,P,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:04:26.030000,2023-12-07 04:04:29.140000,0.68,14.2,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040427.19-S-TX.PB26.00.HH,2023-12-07 04:04:27.193000,0.05,S,TX,PB26,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:24.583000,2023-12-07 04:04:29.483000,0.06,8.4,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB26/TX.PB26.00.HHE__20231207T040300Z__20231207T040800Z.mseed
20231207.040427.29-S-TX.PB23.00.HH,2023-12-07 04:04:27.291000,0.02,S,TX,PB23,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:25.601000,2023-12-07 04:04:28.391000,0.04,10.6,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB23/TX.PB23.00.HHE__20231207T040300Z__20231207T040800Z.mseed
20231207.040428.15-S-TX.PB33.00.HH,2023-12-07 04:04:28.150000,0.75,S,TX,PB33,00,HH,EQTransformer,2024-09-12 00:30:21.246641,2023-12-07 04:04:26.030000,2023-12-07 04:04:29.140000,0.68,9.7,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB33/TX.PB33.00.HHZ__20231207T040300Z__20231207T040800Z.mseed
20231207.040433.11-P-TX.PB35.00.HH,2023-12-07 04:04:33.110000,0.13,P,TX,PB35,00,HH,EQTransformer,2024-09-12 00:30:21.241737,2023-12-07 04:04:32.610000,2023-12-07 04:04:35.790000,0.13,9.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor2/downloads/PB35/TX.PB35.00.HH1__20231207T040300Z__20231207T040800Z.mseed
